Country Name, Country Code, p1990, p1991, p1992, p1993, p1994, p1995, p1996, p1997, p1998, p1999, p2000, p2001, p2002, p2003, p2004, p2005, p2006, p2007, p2008, p2009, p2010, p2011, p2012, p2013, p2014, g1990, g1991, g1992, g1993, g1994, g1995, g1996, g1997, g1998, g1999, g2000, g2001, g2002, g2003, g2004, g2005, g2006, g2007, g2008, g2009, g2010, g2011, g2012, g2013, g2014, ghg1990, ghg1991,ghg1992,ghg1993,ghg1994,ghg1995,ghg1996,ghg1997,ghg1998,ghg1999,ghg2000,ghg2001,ghg2002,ghg2003,ghg2004,ghg2005,ghg2006,ghg2007,ghg2008,ghg2009,ghg2010,ghg2011,ghg2012,ghg2013,ghg2014 
Afghanistan,AFG,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,0,0,0,0,0,0,0,0,0,0,0,0,839,888,886,979,1032,1176,1218,1455,1637,1627,1807,1875,1898,15.2128,15.2864,14.0105,14.0281,13.9854,14.3349,15.3232,16.2845,17.1244,18.0006,16.496,15.2094,17.6991,18.4304,18.1513,18.9847,19.6229,20.3989,23.63,26.9429,30.6296,34.713,34.5016,33.1709,33.3661
Angola,AGO,11848386,12248901,12657366,13075049,13503747,13945206,14400719,14871570,15359601,15866869,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015780,26941779,3090,3120,2908,2191,2196,2496,2795,2953,3027,3038,3097,3191,3564,3615,3979,4555,5049,5697,6221,6093,6230,6346,6773,6980,7199,52.2201,53.8142,55.0744,56.7951,57.8733,63.2029,63.7696,64.5327,67.6438,67.6789,68.9825,73.8661,78.2501,89.9323,95.7309,99.0156,105.9221,119.1198,127.0014,137.1651,147.6876,151.1196,150.5324,155.8722,157.8168
Albania,ALB,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2549,1909,1823,2057,2290,2666,2980,2717,3021,3472,3861,4301,4661,4995,5423,5865,6560,7276,8228,8815,9628,10208,10526,10571,11259,11.692,9.119,6.8705,6.597,7.1382,6.6947,6.4076,5.6799,5.9166,7.0848,7.3741,7.3494,7.9868,8.4026,8.4785,8.2514,8.1501,8.1888,7.9577,8.0308,8.3122,8.7857,8.3722,8.557,9.0365
Andorra,AND,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80993,82684,83862,84463,84449,83747,82427,80774,79213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4294,0.4307,0.4321,0.4371,0.4348,0.4545,0.485,0.4971,0.5238,0.5469,0.5591,0.5604,0.5691,0.5742,0.6012,0.6172,0.5898,0.5843,0.5861,0.5659,0.5678,0.5434,0.5411,0.5315,0.5181
United Arab Emirates,ARE,1828432,1937153,2052891,2173139,2294385,2415090,2539126,2671362,2813214,2966034,3134062,3302719,3478777,3711932,4068570,4588225,5300174,6168838,7089487,7917372,8549988,8946777,9141596,9197910,9214175,72907,71754,71568,70082,72472,74994,76849,80390,77421,76654,82215,80844,79863,82946,85147,81635,79971,72802,66641,56976,54230,56574,58961,62642,66517,74.6428,81.3419,80.0797,83.1663,90.0009,95.035,98.8222,105.0768,108.3051,111.0274,110.0929,122.6269,125.7554,132.3778,139.7685,147.171,153.8065,165.1836,191.2976,191.5703,196.2646,204.2663,214.368,218.7826,221.5072
Argentina,ARG,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,42202935,42669500,7380,8211,8943,9777,10436,10225,10857,11803,12256,11879,11917,11515,10310,11308,12528,13917,15335,16995,17850,16753,18525,19817,19764,20366,20008,233.0957,237.5316,241.8817,242.0501,252.1711,253.8123,262.9425,266.9057,268.589,275.3448,277.5082,271.2806,263.9795,284.2345,299.1197,302.6715,316.2335,326.8328,335.5216,319.7705,320.1575,328.1953,333.9591,334.2374,348.6472
Armenia,ARM,3538171,3505258,3442817,3363108,3283667,3217348,3168221,3133089,3108687,3089022,3069591,3050687,3033978,3017932,3000720,2981269,2958307,2932618,2907618,2888092,2877319,2876538,2884229,2897584,2912403,2429,2238,1356,1296,1429,1592,1743,1852,2026,2136,2327,2622,3031,3540,4038,4773,5609,6609,7265,6327,6566,7020,7649,8003,8405,23.9429,24.5752,14.2386,8.132,5.6361,6.2392,5.1794,5.7977,5.7513,5.253,5.595,5.7346,5.3548,5.7674,6.1323,6.8682,7.0136,7.8072,8.3775,7.2457,7.0715,7.7079,8.6009,8.5935,8.6263
Australia,AUS,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,17330,17791,18189,19132,20064,20894,21972,22935,24197,25264,26329,27337,28718,29694,31327,32575,34307,36560,37459,40300,39324,41965,42827,45902,46880,478.2095,477.0836,477.0781,478.3845,485.4769,493.1283,495.6323,501.9787,529.9795,565.999,588.0207,594.7678,593.9823,537.0973,583.9559,558.6473,593.3024,593.2156,573.521,587.8017,561.6214,646.9771,648.6069,580.0997,589.7345
Austria,AUT,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,19442,20585,21260,21698,22607,23660,24529,25424,26675,27606,29380,29715,31179,32109,33743,35014,37623,39393,41316,40927,42006,44453,46457,47922,48800,74.9927,78.9379,73.7873,73.7721,73.6969,76.3133,79.8759,78.7915,79.2308,77.3638,77.3954,81.501,82.9353,88.7603,88.5856,89.0648,86.4195,84.0461,84.3307,77.9121,82.8152,81.1072,78.1579,78.4743,75.1477
Azerbaijan,AZE,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,5704,5765,4495,3486,2820,2511,2564,2733,3011,3252,3663,4083,4505,5019,5582,7290,9989,12724,14048,15163,15884,15754,16193,17216,17809,74.8595,83.5539,59.4784,67.4413,60.6565,58.2767,53.2786,53.0013,53.4701,53.4343,55.1549,54.8951,55.2026,52.327,53.0363,56.4608,56.7838,52.7332,57.5843,55.788,57.4039,63.5647,67.4535,69.7221,72.5978
Burundi,BDI,5438957,5564926,5685565,5798053,5898967,5987043,6060111,6122130,6185562,6267124,6378871,6525545,6704113,6909154,7131693,7364862,7607849,7862214,8126102,8397668,8675602,8958406,9245988,9540289,9844297,667,707,715,673,650,602,557,552,579,574,571,582,602,587,612,617,649,667,690,698,719,739,762,789,812,2.2159,2.3007,2.3398,2.3666,2.3097,2.3893,2.3503,2.3557,2.2444,2.2379,2.2397,2.156,2.0378,1.9553,1.994,1.9533,2.0776,2.1401,2.2713,2.3736,2.5638,2.7468,2.9072,3.0429,3.3016
Belgium,BEL,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,18759,19676,20349,20551,21600,22532,22891,23928,24564,25642,27988,28958,30483,31056,32238,33332,35386,36873,38134,38009,40052,41284,42436,43611,44605,129.4493,134.4432,133.0524,130.8931,136.216,136.0763,141.058,137.7708,139.6673,136.4637,136.3495,136.5888,129.8198,133.7008,132.1099,128.2769,125.2302,121.3933,124.1466,116.342,125.18,113.9778,112.0333,113.4088,107.5032
Benin,BEN,4978496,5149499,5331803,5521763,5714220,5905558,6094259,6281639,6470265,6664098,6865951,7076733,7295394,7520555,7750004,7982225,8216897,8454793,8696921,8944708,9199259,9460830,9729248,10004588,10286842,949,989,1006,1052,1059,1110,1142,1192,1217,1262,1326,1385,1428,1460,1519,1547,1609,1702,1769,1774,1782,1821,1892,2006,2114,5.0074,4.9879,5.0614,5.1487,5.3578,5.221,5.9461,6.2646,6.5097,6.4701,6.9613,7.0806,8.1615,7.9807,7.9902,9.2864,9.8075,10.5927,10.3598,10.8381,11.1117,11.3931,11.5466,12.1686,12.7148
Burkina Faso,BFA,8811034,9050084,9297113,9552476,9816588,10089878,10372745,10665546,10968724,11282701,11607942,11944587,12293100,12654621,13030569,13421930,13829176,14252021,14689725,15141098,15605217,16081911,16571246,17072775,17586017,548,602,600,619,623,654,719,757,798,846,856,906,933,995,1037,1128,1199,1262,1339,1348,1394,1473,1551,1620,1672,11.0379,11.4474,11.8309,12.1728,12.6086,13.055,13.4884,14.2619,14.6295,15.1964,14.6944,14.5524,15.1997,18.1673,18.4155,19.0406,18.9301,19.5479,20.2584,20.8081,21.5909,21.9422,22.2495,23.5054,23.5008
Bangladesh,BGD,103171956,105599127,107983704,110350639,112737683,115169930,117649932,120160564,122682815,125189651,127657854,130088702,132478086,134791603,136986432,139035505,140921167,142660376,144304167,145924797,147575430,149273778,151007807,152764676,154520167,860,899,948,995,1033,1085,1131,1177,1226,1276,1347,1419,1470,1541,1639,1774,1923,2089,2232,2336,2467,2651,2845,3033,3241,84.934,85.1494,86.987,88.228,90.6004,95.6969,96.5136,98.8883,99.0591,103.2217,106.0589,111.2392,114.4974,115.7754,117.4141,121.6696,126.723,129.5514,139.8082,144.2122,152.4967,158.1435,162.1276,164.5165,167.7068
Bulgaria,BGR,8718289,8632367,8540164,8472313,8443591,8406067,8362826,8312068,8256786,8210624,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7493,7163,6867,6981,7284,7684,6779,5697,6141,5767,6378,6909,7726,8343,9123,10211,11314,12801,14329,14146,14934,15676,16208,16571,17534,99.3425,79.2568,74.1911,72.8513,69.6499,69.3575,69.6223,67.0836,64.3429,58.2163,57.2534,59.9948,57.7467,62.0951,61.2824,61.6913,62.6915,66.5173,64.4357,57.6064,59.2337,64.6284,59.3692,54.8586,57.8046
Bahrain,BHR,495931,509760,523086,536210,549583,563697,578666,594931,613700,636541,664611,697545,735146,778708,829844,889164,958418,1035919,1114641,1185076,1240860,1278151,1299943,1315029,1336075,22786,25491,27108,30555,30372,31420,32449,33099,34002,34685,35763,35689,35643,36338,37462,38492,39171,40300,40567,39423,39740,40168,41755,44275,46333,13.5272,13.2061,15.2231,16.0953,16.4842,16.7173,17.4271,17.7377,18.921,18.9232,19.4104,19.9951,21.0231,21.7231,21.8091,24.6925,26.618,27.1198,28.9698,29.026,30.4308,30.5806,31.2078,33.4831,35.0448
"Bahamas, The",BHS,256223,261008,266029,271069,275846,280184,283978,287358,290597,294062,298051,302618,307660,313129,318894,324859,331033,337389,343681,349604,354942,359577,363584,367168,370633,20120,19566,18883,19029,19700,20669,21643,22206,23253,24976,26238,27102,27812,27482,27956,29259,30326,30996,30300,28761,29099,29504,30656,30763,31006,2.1263,1.96,1.9709,1.8813,1.8719,1.8732,1.8715,1.5683,1.8977,1.8888,1.8827,1.7869,1.7968,1.7427,1.9716,1.9836,1.9123,1.9457,1.7671,1.9077,1.9252,2.1556,2.2552,3.1042,2.7145
Belarus,BLR,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,5429,5543,5114,4826,4358,3999,4201,4780,5265,5546,6027,6484,6963,7645,8810,10006,11409,12782,14409,14581,15928,17167,17807,18299,18950,136.5524,131.5433,117.0869,104.3462,91.5598,83.4931,84.0954,84.6086,82.7694,80.499,77.896,76.8312,76.6572,77.8948,81.5603,83.0652,86.3074,85.1507,88.9667,87.2584,91.5163,89.2079,90.4112,90.4979,89.5802
Belize,BLZ,187552,191128,194324,197622,201680,206963,213664,221580,230244,238988,247315,255063,262378,269425,276504,283800,291329,299025,306823,314655,322464,330237,338000,345715,353366,3320,3754,4232,4527,4538,4544,4546,4617,4662,4956,5533,5758,5977,6482,6787,6995,7342,7426,7617,7534,7689,7830,8026,8053,8324,5.4621,5.6398,5.7951,5.935,6.0669,6.1775,6.2724,6.5206,6.6769,6.8294,7.0324,7.2635,7.4893,7.7339,7.7397,7.9614,8.1817,8.4337,8.5933,8.9853,9.1103,9.3827,9.4379,9.6811,9.8017
Bolivia,BOL,6864842,7011453,7160920,7312850,7466793,7622338,7779267,7937458,8096761,8257066,8418264,8580235,8742814,8905823,9069039,9232306,9395446,9558439,9721454,9884781,10048590,10212954,10377676,10542376,10706517,2403,2560,2606,2724,2852,2986,3109,3253,3387,3384,3478,3546,3623,3721,3909,4135,4387,4630,4926,5045,5228,5525,5825,6231,6593,20.8505,21.418,23.0638,24.5963,26.4354,26.3757,26.2347,26.7071,27.8921,28.0406,28.1764,26.9653,28.7941,30.4813,33.0611,34.5329,35.1963,36.6144,37.7286,38.9853,43.4382,43.2062,46.5951,47.1044,48.4667
Brazil,BRA,149003223,151648011,154259380,156849078,159432716,162019896,164614688,167209040,169785250,172318675,174790340,177196054,179537520,181809246,184006481,186127103,188167356,190130443,192030362,193886508,195713635,197514534,199287296,201035903,202763735,6711,6920,6925,7298,7724,8103,8300,8595,8588,8624,9074,9274,9582,9748,10461,11005,11659,12568,13332,13288,14320,15062,15507,16111,16358,556.3648,574.5559,584.9415,594.5369,610.9471,636.3779,645.4109,672.6958,692.9023,705.3756,721.7813,744.2633,765.5213,777.6987,814.8983,827.5413,826.2242,854.5021,869.0668,856.2575,931.758,954.8245,994.5386,1017.8745,1051.0013
Barbados,BRB,260936,261905,262886,263874,264893,265955,267049,268187,269336,270451,271515,272500,273425,274329,275284,276323,277477,278700,279946,281104,282131,282987,283700,284296,284825,9165,9070,8597,8875,9371,9722,10251,10875,11360,11514,12248,12175,12424,12886,13372,14283,15485,16110,16371,15775,15943,16333,16651,16910,17201,2.8621,3.0207,2.8196,2.9771,2.6423,2.7507,2.7864,2.841,3.092,3.1698,3.1557,3.1891,3.1911,3.2398,3.2817,3.3342,3.3597,3.3611,3.6325,3.6348,3.5402,3.5703,3.5599,3.5448,3.3554
Bhutan,BTN,530804,534632,534516,532596,531897,534620,541465,551709,564377,577881,591021,603640,616018,627839,638815,648739,657410,664876,671613,678323,685503,693298,701583,710238,719056,1527,1561,1671,1751,1879,2044,2169,2282,2389,2556,2732,2958,3260,3508,3749,4078,4430,5304,5608,5968,6675,7269,7693,7898,8405,0.7296,0.7776,0.7762,0.7456,0.7768,0.8653,0.9003,0.995,0.9913,1.0186,0.9836,0.9484,0.9644,0.9399,0.8766,1.0191,0.997,1.0144,0.9902,0.9699,1.064,1.3072,1.3845,1.4949,1.5272
Botswana,BWA,1286756,1326322,1363554,1399110,1434059,1469174,1504730,1540425,1575824,1610264,1643334,1674678,1704642,1734398,1765527,1799078,1835908,1875459,1915639,1953498,1987105,2015402,2039551,2062536,2088614,5517,5946,6088,6190,6392,6818,7174,7722,7668,8348,8529,8574,9076,9506,9850,10421,11401,12409,13159,12007,12964,13839,14558,16310,17092,12.5736,12.0664,12.3803,12.1081,12.3552,13.2577,14.8846,14.5522,14.2899,14.3649,14.2482,14.69,13.8788,9.3009,9.8016,10.3533,12.7628,10.9125,17.3116,11.5214,18.7874,22.2055,13.5452,12.9796,14.1803
Central African Republic,CAF,2806734,2878509,2959236,3046149,3135015,3222656,3308233,3392436,3475492,3558014,3640427,3722018,3802128,3881181,3959875,4038382,4118069,4198010,4273366,4337625,4386768,4418636,4436415,4447942,4464175,638,639,595,594,618,658,627,655,677,695,677,707,728,687,733,748,792,835,853,919,962,1016,1084,703,715,35.9112,36.9387,37.7156,38.4872,39.3206,40.1712,40.6708,41.0952,43.2111,41.2591,44.3236,43.2168,41.486,47.7154,44.0617,46.5456,46.8487,47.941,49.6629,45.1868,47.9691,49.7608,46.4095,49.2281,48.5662
Canada,CAN,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,20174,20161,20557,21367,22556,23402,23962,25168,26220,27746,29265,30108,30853,32225,33797,36211,37999,39440,40276,38797,40012,41569,42189,44189,45646,560.0403,555.7398,570.5222,571.1014,590.996,606.7379,624.2119,640.2406,650.3115,658.8844,679.7555,672.6715,681.4384,702.3799,696.6948,708.3402,695.4153,731.7513,716.9919,685.1074,699.5197,713.3584,718.5661,738.3825,745.1087
Switzerland,CHE,6715519,6799978,6875364,6938265,6993795,7040687,7071850,7088906,7110001,7143991,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,27595,27915,28226,28597,29344,29902,30542,31813,32919,33814,35755,36778,37718,37713,39170,40572,45106,49746,52585,51769,53068,56184,57850,60109,61902,51.8598,54.151,53.9446,51.6167,50.7095,51.4356,52.0193,50.6415,52.1036,52.2647,51.3352,52.9722,51.2288,52.4122,52.8998,53.4351,53.0943,51.1546,52.6545,51.3786,52.9935,49.0215,50.4543,51.4899,47.705
Chile,CHL,13274623,13495258,13719819,13944937,14166340,14380866,14587370,14786220,14977733,15162800,15342353,15516113,15684409,15849652,16014971,16182721,16354504,16530195,16708258,16886186,17062536,17233576,17400347,17571507,17758959,4511,4953,5623,6119,6569,7352,8012,8637,8996,8977,9554,9973,10333,10841,11813,12747,15754,16942,16502,16160,18162,20343,21508,22439,22787,46.7818,45.7512,48.1094,49.4429,53.0041,56.4878,62.625,69.3735,70.0427,72.13,68.1943,66.5514,67.5924,68.8912,74.6799,75.8001,77.1741,85.1169,89.4577,86.3898,90.8737,97.5371,99.8293,103.6029,97.1524
China,CHN,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,988,1101,1270,1464,1671,1873,2074,2281,2464,2668,2936,3227,3554,3958,4450,5081,5868,6847,7615,8353,9304,10355,11328,12361,13446,3154.4563,3301.8964,3438.3925,3665.4446,3819.92,4205.0046,4221.1339,4252.7182,4359.1953,4293.6582,4480.3934,4721.7008,5051.075,5721.9482,6521.6593,7267.0607,7932.78,8571.7002,8752.4095,9314.1425,10108.2299,11013.0344,11250.3966,11732.5156,11911.7118
Cote d'Ivoire,CIV,11924877,12362407,12812421,13271643,13735433,14199762,14665127,15130663,15589414,16032573,16454668,16853026,17231539,17599610,17970494,18354514,18754916,19171237,19605569,20059147,20532950,21028655,21547188,22087505,22647683,2132,2127,2094,2065,2055,2174,2309,2362,2433,2438,2379,2376,2321,2284,2325,2388,2444,2498,2554,2597,2618,2495,2748,2970,3211,23.3747,23.9943,24.4827,25.0909,26.1029,26.7178,26.0809,26.0654,24.7427,25.3163,23.9464,24.2816,25.6383,24.5056,24.3785,26.3927,26.3375,26.4939,27.731,27.532,28.8449,28.8764,31.2382,33.0563,33.7401
Cameroon,CMR,11780088,12137912,12499499,12864090,13230984,13599988,13970813,14344449,14723768,15112592,15513945,15928910,16357602,16800865,17259322,17733410,18223674,18730282,19252666,19789919,20341241,20906388,21485266,22077298,22681858,1949,1881,1811,1658,1682,1728,1788,1864,1919,1978,2040,2119,2185,2266,2419,2476,2568,2692,2763,2768,2818,2914,3021,3154,3312,75.2891,74.9645,74.9059,79.0696,79.7501,79.5812,78.7451,79.469,80.7341,80.753,82.4335,81.8115,81.3611,82.2653,81.5427,83.0509,82.7123,83.7133,82.8321,83.3899,82.5208,82.6645,82.2881,83.2755,83.1379
"Congo, Rep.",COG,2356737,2422305,2489952,2559873,2632345,2707537,2785810,2867280,2951647,3038433,3127411,3217933,3310387,3406922,3510468,3622775,3745141,3876119,4011486,4145391,4273731,4394844,4510198,4622761,4736974,3454,3558,3632,3581,3362,3470,3581,3518,3585,3441,3677,3791,3915,3906,4028,4337,4592,4484,4663,4886,5215,5354,5519,5668,6018,2.6054,4.847,4.7874,4.7732,4.5623,4.7205,4.4547,5.0769,5.0307,4.7734,4.5534,4.4521,4.4861,4.9567,4.7886,6.988,7.2454,7.2827,7.5829,7.7321,7.3315,7.3066,7.5893,6.9841,6.9983
Colombia,COL,33102575,33758337,34422569,35091275,35758979,36421438,37076387,37723800,38364309,38999471,39629968,40255967,40875360,41483869,42075955,42647723,43200897,43737516,44254975,44750054,45222700,45663099,46076848,46497267,46969209,5016,5186,5412,5728,6075,6406,6540,6763,6763,6465,6695,6848,7023,7324,7811,8321,9036,9793,10188,10274,10733,11650,12226,12891,13618,116.6519,118.4205,121.978,125.916,127.883,130.9327,131.8528,135.9924,137.7688,128.6213,132.0068,132.2259,131.1788,132.7604,133.9722,138.8471,139.7764,143.5525,144.4866,148.6653,151.6834,154.6902,152.1934,159.5837,162.8699
Comoros,COM,411594,423872,436448,449274,462277,475394,488627,501953,515385,528848,542357,555888,569479,583211,597228,611627,626425,641620,657229,673252,689692,706569,723871,741505,759390,1675,1590,1714,1756,1651,1699,1661,1711,1707,1720,1901,1939,1968,1998,2042,2115,2183,2207,2284,2318,2377,2465,2531,2627,2669,0.2324,0.237,0.2403,0.2512,0.2481,0.2569,0.2694,0.274,0.301,0.2999,0.3018,0.3031,0.3146,0.3378,0.3507,0.3273,0.3648,0.2894,0.3124,0.3409,0.3803,0.3679,0.3813,0.4185,0.3978
Cabo Verde,CPV,337950,346230,355757,366053,376407,386284,395533,404259,412514,420452,428188,435709,442951,449930,456617,463032,469170,475060,480842,486671,492654,498856,505235,511748,518269,1088,1113,1229,1329,1574,1788,1980,2190,2442,2703,3101,3184,3348,3498,3900,4240,4656,5438,5841,5741,5822,6102,6207,6286,6363,0.2162,0.2283,0.2632,0.269,0.2531,0.2858,0.2737,0.2896,0.3147,0.3447,0.371,0.3945,0.4347,0.4693,0.4998,0.6195,0.6665,0.7123,0.6912,0.7537,0.7947,0.7666,0.6593,0.6549,0.6488
Costa Rica,CRI,3119433,3202085,3286520,3372298,3458834,3545534,3632362,3718949,3803887,3885430,3962372,4034074,4100925,4164053,4225155,4285502,4345412,4404628,4463125,4520740,4577378,4633086,4688000,4742107,4795396,5026,5176,5632,6017,6261,6493,6534,6853,7247,7481,7787,8090,8350,8732,9221,9737,10610,11626,12241,12059,12645,13303,14042,14446,15067,8.2916,8.5565,9.6653,9.7097,10.1375,9.735,9.5639,9.6174,10.2894,10.0755,9.8896,10.2393,10.2118,10.6394,10.7561,11.498,11.6168,13.0157,13.1399,12.9547,12.858,13.3082,13.3446,13.7769,13.8976
Cuba,CUB,10596987,10673542,10736387,10789306,10838462,10888252,10939293,10989732,11038692,11084670,11126430,11164667,11199651,11229183,11250365,11261582,11261248,11251122,11236971,11226709,11225832,11236670,11257101,11282720,11306902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0702,44.3786,38.6556,35.1193,36.5711,37.4095,40.0188,42.6925,42.3262,42.8962,43.4051,42.3856,40.9798,40.2177,39.6888,39.9685,40.9096,42.0345,41.4902,45.7585,49.0899,46.7181,47.5771,46.5085,46.8277
Cyprus,CYP,766615,783124,800611,818746,837110,855383,873423,891190,908702,926046,943290,960276,976964,993563,1010408,1027662,1045507,1063713,1081563,1098083,1112612,1124833,1135046,1143866,1152285,13315,13512,14722,14815,15696,17070,17297,17779,18759,19663,21291,22871,23556,24253,25921,27763,29984,32850,34824,33888,33231,33192,31915,30621,30391,5.0532,5.6093,5.9653,6.1466,6.348,6.2406,6.5573,6.6297,7.1381,7.3852,7.7236,7.6213,7.8572,8.6834,8.5788,8.769,8.8035,9.1812,9.3564,9.0863,8.8112,8.4961,7.9403,6.9364,7.0222
Czech Republic,CZE,10333355,10308578,10319123,10329855,10333587,10327253,10315241,10304131,10294373,10283860,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,12660,11596,11788,12062,12673,13753,14583,14731,14906,15324,16191,17554,18189,19426,20799,21956,23776,26125,27845,27599,27667,28797,29047,30486,32263,181.0566,164.8315,158.3562,153.4895,145.9676,145.4959,147.042,144.3961,137.8697,130.5493,141.6226,141.6084,136.5724,140.8975,141.6378,138.204,138.7436,141.5069,135.9195,128.3928,130.5169,129.9681,125.4874,120.9859,116.7703
