Country Name, Country Code,p1990,p1991,p1992,p1993,p1994,p1995,p1996,p1997,p1998,p1999,p2000,p2001,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,p2012,p2013,p2014,g1990,g1991,g1992,g1993,g1994,g1995,g1996,g1997,g1998,g1999,g2000,g2001,g2002,g2003,g2004,g2005,g2006,g2007,g2008,g2009,g2010,g2011,g2012,g2013,g2014,ghg1990,ghg1991ghg1992,ghg1993,ghg1994,ghg1995,ghg1996,ghg1997,ghg1998,ghg1999,ghg2000,ghg2001,ghg2002,ghg2003,ghg2004,ghg2005,ghg2006,ghg2007,ghg2008,ghg2009,ghg2010,ghg2011,ghg2012,ghg2013,ghg2014
Afghanistan,AFG,1.24,1.33,1.45,1.58,1.71,1.81,1.89,1.94,1.97,2.02,2.08,2.16,2.26,2.37,2.47,2.57,2.64,2.71,2.77,2.84,2.92,3.01,3.12,3.23,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.395,8.882,8.857999999999999,9.793,10.315999999999999,11.761,12.181,14.547,16.374000000000002,16.268,18.067999999999998,18.748,18.975,15.2128,15.2864,14.0105,14.0281,13.9854,14.3349,15.3232,16.2845,17.1244,18.0006,16.496,15.2094,17.6991,18.4304,18.1513,18.9847,19.6229,20.3989,23.63,26.9429,30.6296,34.713,34.5016,33.1709,33.3661
Angola,AGO,1.18,1.22,1.27,1.31,1.35,1.39,1.44,1.49,1.54,1.59,1.64,1.69,1.75,1.81,1.88,1.94,2.01,2.09,2.17,2.25,2.34,2.42,2.51,2.6,2.69,30.897,31.204,29.081999999999997,21.908,21.955,24.962,27.949,29.533,30.273000000000003,30.377,30.973000000000003,31.913,35.641,36.146,39.787,45.552,50.489,56.973,62.214,60.928000000000004,62.303000000000004,63.464,67.725,69.804,71.992,52.2201,53.8142,55.0744,56.7951,57.8733,63.2029,63.7696,64.5327,67.6438,67.6789,68.9825,73.8661,78.2501,89.9323,95.7309,99.0156,105.9221,119.1198,127.0014,137.1651,147.6876,151.1196,150.5324,155.8722,157.8168
Albania,ALB,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,25.495,19.090999999999998,18.233,20.574,22.899,26.658,29.801,27.174,30.21,34.717,38.613,43.013999999999996,46.614,49.945,54.228,58.653,65.598,72.763,82.28399999999999,88.148,96.28,102.07799999999999,105.262,105.71,112.59200000000001,11.692,9.119,6.8705,6.597,7.1382,6.6947,6.4076,5.6799,5.9166,7.0848,7.3741,7.3494,7.9868,8.4026,8.4785,8.2514,8.1501,8.1888,7.9577,8.0308,8.3122,8.7857,8.3722,8.557,9.0365
Andorra,AND,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4294,0.4307,0.4321,0.4371,0.4348,0.4545,0.485,0.4971,0.5238,0.5469,0.5591,0.5604,0.5691,0.5742,0.6012,0.6172,0.5898,0.5843,0.5861,0.5659,0.5678,0.5434,0.5411,0.5315,0.5181
United Arab Emirates,ARE,0.18,0.19,0.21,0.22,0.23,0.24,0.25,0.27,0.28,0.3,0.31,0.33,0.35,0.37,0.41,0.46,0.53,0.62,0.71,0.79,0.85,0.89,0.91,0.92,0.92,729.065,717.5369999999999,715.678,700.824,724.717,749.944,768.488,803.9010000000001,774.211,766.543,822.153,808.436,798.635,829.4630000000001,851.472,816.355,799.707,728.0219999999999,666.415,569.755,542.302,565.743,589.612,626.418,665.169,74.6428,81.3419,80.0797,83.1663,90.0009,95.035,98.8222,105.0768,108.3051,111.0274,110.0929,122.6269,125.7554,132.3778,139.7685,147.171,153.8065,165.1836,191.2976,191.5703,196.2646,204.2663,214.368,218.7826,221.5072
Argentina,ARG,3.26,3.31,3.35,3.4,3.44,3.48,3.52,3.57,3.61,3.65,3.69,3.73,3.77,3.81,3.85,3.89,3.93,3.97,4.01,4.05,4.08,4.13,4.17,4.22,4.27,73.801,82.10600000000001,89.426,97.772,104.359,102.251,108.574,118.02799999999999,122.557,118.787,119.166,115.146,103.101,113.07799999999999,125.27799999999999,139.165,153.349,169.947,178.50099999999998,167.53400000000002,185.24900000000002,198.175,197.642,203.65599999999998,200.083,233.0957,237.5316,241.8817,242.0501,252.1711,253.8123,262.9425,266.9057,268.589,275.3448,277.5082,271.2806,263.9795,284.2345,299.1197,302.6715,316.2335,326.8328,335.5216,319.7705,320.1575,328.1953,333.9591,334.2374,348.6472
Armenia,ARM,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,24.285999999999998,22.378,13.562000000000001,12.962,14.290999999999999,15.919,17.427,18.522000000000002,20.256,21.361,23.274,26.219,30.311,35.396,40.385,47.726000000000006,56.092,66.092,72.646,63.266999999999996,65.657,70.19800000000001,76.491,80.031,84.051,23.9429,24.5752,14.2386,8.132,5.6361,6.2392,5.1794,5.7977,5.7513,5.253,5.595,5.7346,5.3548,5.7674,6.1323,6.8682,7.0136,7.8072,8.3775,7.2457,7.0715,7.7079,8.6009,8.5935,8.6263
Australia,AUS,1.71,1.73,1.75,1.77,1.79,1.81,1.83,1.85,1.87,1.89,1.92,1.94,1.97,1.99,2.01,2.04,2.07,2.08,2.12,2.17,2.2,2.23,2.27,2.31,2.35,173.296,177.908,181.891,191.315,200.643,208.94400000000002,219.72099999999998,229.34799999999998,241.967,252.644,263.28700000000003,273.367,287.182,296.939,313.274,325.751,343.06699999999995,365.60400000000004,374.593,403.00300000000004,393.244,419.654,428.26800000000003,459.02,468.80199999999996,478.2095,477.0836,477.0781,478.3845,485.4769,493.1283,495.6323,501.9787,529.9795,565.999,588.0207,594.7678,593.9823,537.0973,583.9559,558.6473,593.3024,593.2156,573.521,587.8017,561.6214,646.9771,648.6069,580.0997,589.7345
Austria,AUT,0.77,0.78,0.78,0.79,0.79,0.79,0.8,0.8,0.8,0.8,0.8,0.8,0.81,0.81,0.82,0.82,0.83,0.83,0.83,0.83,0.84,0.84,0.84,0.85,0.85,194.423,205.85,212.59599999999998,216.983,226.06799999999998,236.604,245.292,254.24099999999999,266.746,276.065,293.801,297.152,311.78700000000003,321.086,337.43,350.13699999999994,376.231,393.925,413.162,409.265,420.06,444.527,464.57300000000004,479.22,487.99699999999996,74.9927,78.9379,73.7873,73.7721,73.6969,76.3133,79.8759,78.7915,79.2308,77.3638,77.3954,81.501,82.9353,88.7603,88.5856,89.0648,86.4195,84.0461,84.3307,77.9121,82.8152,81.1072,78.1579,78.4743,75.1477
Azerbaijan,AZE,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.78,0.79,0.8,0.8,0.81,0.82,0.82,0.83,0.84,0.85,0.86,0.88,0.89,0.91,0.92,0.93,0.94,0.95,57.038999999999994,57.653,44.95399999999999,34.855,28.203000000000003,25.105,25.636999999999997,27.326999999999998,30.111,32.519,36.634,40.827,45.05,50.18899999999999,55.818999999999996,72.902,99.89200000000001,127.243,140.477,151.629,158.84,157.542,161.934,172.162,178.08900000000003,74.8595,83.5539,59.4784,67.4413,60.6565,58.2767,53.2786,53.0013,53.4701,53.4343,55.1549,54.8951,55.2026,52.327,53.0363,56.4608,56.7838,52.7332,57.5843,55.788,57.4039,63.5647,67.4535,69.7221,72.5978
Burundi,BDI,0.54,0.56,0.57,0.58,0.59,0.6,0.61,0.61,0.62,0.63,0.64,0.65,0.67,0.69,0.71,0.74,0.76,0.79,0.81,0.84,0.87,0.9,0.92,0.95,0.98,6.667000000000001,7.0729999999999995,7.152,6.732,6.499,6.02,5.572,5.521,5.789,5.737,5.712999999999999,5.825,6.015,5.872000000000001,6.125,6.171,6.487,6.669,6.897,6.982,7.187,7.392,7.624,7.888999999999999,8.12,2.2159,2.3007,2.3398,2.3666,2.3097,2.3893,2.3503,2.3557,2.2444,2.2379,2.2397,2.156,2.0378,1.9553,1.994,1.9533,2.0776,2.1401,2.2713,2.3736,2.5638,2.7468,2.9072,3.0429,3.3016
Belgium,BEL,1.0,1.0,1.0,1.01,1.01,1.01,1.02,1.02,1.02,1.02,1.03,1.03,1.03,1.04,1.04,1.05,1.05,1.06,1.07,1.08,1.09,1.1,1.11,1.12,1.12,187.59,196.75599999999997,203.493,205.50599999999997,216.00099999999998,225.317,228.91099999999997,239.275,245.64,256.423,279.885,289.585,304.828,310.564,322.38,333.32300000000004,353.86199999999997,368.726,381.335,380.088,400.52,412.842,424.35900000000004,436.111,446.045,129.4493,134.4432,133.0524,130.8931,136.216,136.0763,141.058,137.7708,139.6673,136.4637,136.3495,136.5888,129.8198,133.7008,132.1099,128.2769,125.2302,121.3933,124.1466,116.342,125.18,113.9778,112.0333,113.4088,107.5032
Benin,BEN,0.5,0.51,0.53,0.55,0.57,0.59,0.61,0.63,0.65,0.67,0.69,0.71,0.73,0.75,0.78,0.8,0.82,0.85,0.87,0.89,0.92,0.95,0.97,1.0,1.03,9.492,9.888,10.056000000000001,10.52,10.593,11.097000000000001,11.424000000000001,11.921,12.167,12.624,13.261,13.849,14.28,14.595999999999998,15.189,15.467,16.090999999999998,17.02,17.692999999999998,17.737000000000002,17.816,18.209,18.915,20.063,21.145,5.0074,4.9879,5.0614,5.1487,5.3578,5.221,5.9461,6.2646,6.5097,6.4701,6.9613,7.0806,8.1615,7.9807,7.9902,9.2864,9.8075,10.5927,10.3598,10.8381,11.1117,11.3931,11.5466,12.1686,12.7148
Burkina Faso,BFA,0.88,0.91,0.93,0.96,0.98,1.01,1.04,1.07,1.1,1.13,1.16,1.19,1.23,1.27,1.3,1.34,1.38,1.43,1.47,1.51,1.56,1.61,1.66,1.71,1.76,5.479,6.015,6.002999999999999,6.188,6.23,6.542999999999999,7.195,7.567,7.985,8.458,8.557,9.061,9.332,9.955,10.372,11.283,11.988,12.62,13.392000000000001,13.48,13.943,14.727,15.505999999999998,16.202,16.72,11.0379,11.4474,11.8309,12.1728,12.6086,13.055,13.4884,14.2619,14.6295,15.1964,14.6944,14.5524,15.1997,18.1673,18.4155,19.0406,18.9301,19.5479,20.2584,20.8081,21.5909,21.9422,22.2495,23.5054,23.5008
Bangladesh,BGD,10.32,10.56,10.8,11.04,11.27,11.52,11.76,12.02,12.27,12.52,12.77,13.01,13.25,13.48,13.7,13.9,14.09,14.27,14.43,14.59,14.76,14.93,15.1,15.28,15.45,8.602,8.991,9.482999999999999,9.947000000000001,10.331,10.853,11.309000000000001,11.769,12.26,12.757,13.467,14.190999999999999,14.698,15.412,16.389,17.739,19.234,20.886999999999997,22.316999999999997,23.359,24.669,26.506999999999998,28.447,30.334,32.409,84.934,85.1494,86.987,88.228,90.6004,95.6969,96.5136,98.8883,99.0591,103.2217,106.0589,111.2392,114.4974,115.7754,117.4141,121.6696,126.723,129.5514,139.8082,144.2122,152.4967,158.1435,162.1276,164.5165,167.7068
Bulgaria,BGR,0.87,0.86,0.85,0.85,0.84,0.84,0.84,0.83,0.83,0.82,0.82,0.8,0.78,0.78,0.77,0.77,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.72,74.932,71.63,68.668,69.809,72.843,76.839,67.793,56.968,61.412,57.672,63.778,69.09,77.264,83.431,91.228,102.113,113.13600000000001,128.00799999999998,143.29,141.461,149.341,156.761,162.082,165.71,175.343,99.3425,79.2568,74.1911,72.8513,69.6499,69.3575,69.6223,67.0836,64.3429,58.2163,57.2534,59.9948,57.7467,62.0951,61.2824,61.6913,62.6915,66.5173,64.4357,57.6064,59.2337,64.6284,59.3692,54.8586,57.8046
Bahrain,BHR,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.09,0.1,0.1,0.11,0.12,0.12,0.13,0.13,0.13,0.13,227.859,254.91099999999997,271.07599999999996,305.546,303.716,314.202,324.488,330.99,340.02099999999996,346.853,357.63,356.89300000000003,356.42800000000005,363.384,374.61699999999996,384.91900000000004,391.71,403.0,405.668,394.231,397.405,401.68300000000005,417.54699999999997,442.75,463.334,13.5272,13.2061,15.2231,16.0953,16.4842,16.7173,17.4271,17.7377,18.921,18.9232,19.4104,19.9951,21.0231,21.7231,21.8091,24.6925,26.618,27.1198,28.9698,29.026,30.4308,30.5806,31.2078,33.4831,35.0448
"Bahamas, The",BHS,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,201.203,195.655,188.826,190.29,197.002,206.68900000000002,216.43200000000002,222.062,232.53099999999998,249.763,262.382,271.025,278.124,274.82099999999997,279.564,292.587,303.265,309.964,302.999,287.605,290.991,295.03700000000003,306.561,307.628,310.058,2.1263,1.96,1.9709,1.8813,1.8719,1.8732,1.8715,1.5683,1.8977,1.8888,1.8827,1.7869,1.7968,1.7427,1.9716,1.9836,1.9123,1.9457,1.7671,1.9077,1.9252,2.1556,2.2552,3.1042,2.7145
Belarus,BLR,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.01,1.01,1.0,1.0,0.99,0.99,0.98,0.97,0.97,0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.95,54.293,55.428999999999995,51.138999999999996,48.263000000000005,43.578,39.993,42.006,47.803999999999995,52.652,55.461000000000006,60.273,64.83800000000001,69.628,76.449,88.095,100.059,114.09299999999999,127.818,144.092,145.806,159.279,171.667,178.074,182.988,189.49900000000002,136.5524,131.5433,117.0869,104.3462,91.5598,83.4931,84.0954,84.6086,82.7694,80.499,77.896,76.8312,76.6572,77.8948,81.5603,83.0652,86.3074,85.1507,88.9667,87.2584,91.5163,89.2079,90.4112,90.4979,89.5802
Belize,BLZ,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,33.198,37.539,42.318000000000005,45.271,45.379,45.438,45.458999999999996,46.172,46.615,49.558,55.333999999999996,57.58,59.771,64.819,67.875,69.94800000000001,73.419,74.263,76.165,75.33800000000001,76.88600000000001,78.30199999999999,80.262,80.528,83.23899999999999,5.4621,5.6398,5.7951,5.935,6.0669,6.1775,6.2724,6.5206,6.6769,6.8294,7.0324,7.2635,7.4893,7.7339,7.7397,7.9614,8.1817,8.4337,8.5933,8.9853,9.1103,9.3827,9.4379,9.6811,9.8017
Bolivia,BOL,0.69,0.7,0.72,0.73,0.75,0.76,0.78,0.79,0.81,0.83,0.84,0.86,0.87,0.89,0.91,0.92,0.94,0.96,0.97,0.99,1.0,1.02,1.04,1.05,1.07,24.026999999999997,25.601,26.06,27.239,28.518,29.855999999999998,31.089000000000002,32.53,33.871,33.836999999999996,34.782,35.461,36.231,37.211,39.091,41.346000000000004,43.86600000000001,46.297,49.25899999999999,50.453,52.281000000000006,55.247,58.251000000000005,62.313,65.932,20.8505,21.418,23.0638,24.5963,26.4354,26.3757,26.2347,26.7071,27.8921,28.0406,28.1764,26.9653,28.7941,30.4813,33.0611,34.5329,35.1963,36.6144,37.7286,38.9853,43.4382,43.2062,46.5951,47.1044,48.4667
Brazil,BRA,14.9,15.16,15.43,15.68,15.94,16.2,16.46,16.72,16.98,17.23,17.48,17.72,17.95,18.18,18.4,18.61,18.82,19.01,19.2,19.39,19.57,19.75,19.93,20.1,20.28,67.11,69.2,69.25399999999999,72.977,77.23899999999999,81.027,83.00200000000001,85.946,85.884,86.244,90.74,92.742,95.82,97.479,104.60600000000001,110.05,116.594,125.682,133.321,132.884,143.204,150.62,155.066,161.114,163.584,556.3648,574.5559,584.9415,594.5369,610.9471,636.3779,645.4109,672.6958,692.9023,705.3756,721.7813,744.2633,765.5213,777.6987,814.8983,827.5413,826.2242,854.5021,869.0668,856.2575,931.758,954.8245,994.5386,1017.8745,1051.0013
Barbados,BRB,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,91.647,90.70200000000001,85.96700000000001,88.74600000000001,93.71,97.221,102.506,108.75299999999999,113.604,115.14299999999999,122.477,121.74600000000001,124.241,128.857,133.722,142.83,154.847,161.102,163.70600000000002,157.748,159.42700000000002,163.332,166.513,169.095,172.005,2.8621,3.0207,2.8196,2.9771,2.6423,2.7507,2.7864,2.841,3.092,3.1698,3.1557,3.1891,3.1911,3.2398,3.2817,3.3342,3.3597,3.3611,3.6325,3.6348,3.5402,3.5703,3.5599,3.5448,3.3554
Bhutan,BTN,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,15.273,15.613,16.707,17.505,18.789,20.435,21.69,22.818,23.891,25.559,27.320999999999998,29.579,32.602,35.079,37.492,40.78,44.3,53.042,56.083999999999996,59.678000000000004,66.749,72.693,76.926,78.979,84.053,0.7296,0.7776,0.7762,0.7456,0.7768,0.8653,0.9003,0.995,0.9913,1.0186,0.9836,0.9484,0.9644,0.9399,0.8766,1.0191,0.997,1.0144,0.9902,0.9699,1.064,1.3072,1.3845,1.4949,1.5272
Botswana,BWA,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.19,0.19,0.2,0.2,0.2,0.2,0.21,0.21,55.17,59.461000000000006,60.881,61.903999999999996,63.923,68.182,71.742,77.223,76.67699999999999,83.479,85.29,85.743,90.762,95.065,98.49799999999999,104.214,114.01299999999999,124.09299999999999,131.588,120.072,129.644,138.386,145.58100000000002,163.101,170.921,12.5736,12.0664,12.3803,12.1081,12.3552,13.2577,14.8846,14.5522,14.2899,14.3649,14.2482,14.69,13.8788,9.3009,9.8016,10.3533,12.7628,10.9125,17.3116,11.5214,18.7874,22.2055,13.5452,12.9796,14.1803
Central African Republic,CAF,0.28,0.29,0.3,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.36,0.37,0.38,0.39,0.4,0.4,0.41,0.42,0.43,0.43,0.44,0.44,0.44,0.44,0.45,6.377000000000001,6.392,5.9510000000000005,5.938,6.182,6.582000000000001,6.268,6.547000000000001,6.767,6.946000000000001,6.768,7.067,7.282,6.874,7.332999999999999,7.482,7.92,8.345,8.529,9.193999999999999,9.623,10.162,10.837,7.035,7.15,35.9112,36.9387,37.7156,38.4872,39.3206,40.1712,40.6708,41.0952,43.2111,41.2591,44.3236,43.2168,41.486,47.7154,44.0617,46.5456,46.8487,47.941,49.6629,45.1868,47.9691,49.7608,46.4095,49.2281,48.5662
Canada,CAN,2.77,2.8,2.84,2.87,2.9,2.93,2.96,2.99,3.02,3.04,3.07,3.1,3.14,3.16,3.19,3.22,3.26,3.29,3.32,3.36,3.4,3.43,3.47,3.51,3.54,201.739,201.607,205.575,213.672,225.55700000000002,234.019,239.625,251.675,262.203,277.45799999999997,292.651,301.077,308.532,322.251,337.97,362.111,379.99,394.398,402.76,387.974,400.124,415.694,421.892,441.88699999999994,456.45599999999996,560.0403,555.7398,570.5222,571.1014,590.996,606.7379,624.2119,640.2406,650.3115,658.8844,679.7555,672.6715,681.4384,702.3799,696.6948,708.3402,695.4153,731.7513,716.9919,685.1074,699.5197,713.3584,718.5661,738.3825,745.1087
Switzerland,CHE,0.67,0.68,0.69,0.69,0.7,0.7,0.71,0.71,0.71,0.71,0.72,0.72,0.73,0.73,0.74,0.74,0.75,0.76,0.76,0.77,0.78,0.79,0.8,0.81,0.82,275.94599999999997,279.155,282.262,285.97,293.436,299.025,305.421,318.125,329.186,338.14099999999996,357.546,367.78,377.18300000000005,377.134,391.7,405.723,451.064,497.464,525.847,517.69,530.677,561.8380000000001,578.496,601.085,619.0219999999999,51.8598,54.151,53.9446,51.6167,50.7095,51.4356,52.0193,50.6415,52.1036,52.2647,51.3352,52.9722,51.2288,52.4122,52.8998,53.4351,53.0943,51.1546,52.6545,51.3786,52.9935,49.0215,50.4543,51.4899,47.705
Chile,CHL,1.33,1.35,1.37,1.39,1.42,1.44,1.46,1.48,1.5,1.52,1.53,1.55,1.57,1.58,1.6,1.62,1.64,1.65,1.67,1.69,1.71,1.72,1.74,1.76,1.78,45.111999999999995,49.525,56.228,61.193999999999996,65.688,73.518,80.116,86.37299999999999,89.958,89.771,95.536,99.727,103.331,108.413,118.126,127.46600000000001,157.54,169.418,165.018,161.596,181.618,203.426,215.077,224.393,227.86700000000002,46.7818,45.7512,48.1094,49.4429,53.0041,56.4878,62.625,69.3735,70.0427,72.13,68.1943,66.5514,67.5924,68.8912,74.6799,75.8001,77.1741,85.1169,89.4577,86.3898,90.8737,97.5371,99.8293,103.6029,97.1524
China,CHN,113.52,115.08,116.5,117.84,119.18,120.49,121.75,123.01,124.19,125.27,126.26,127.19,128.04,128.84,129.61,130.37,131.1,131.79,132.47,133.13,133.77,134.41,135.07,135.74,136.43,9.876,11.008,12.703,14.638,16.712,18.726,20.744,22.814,24.642,26.682,29.363000000000003,32.274,35.539,39.585,44.496,50.81,58.678000000000004,68.471,76.15,83.527,93.037,103.555,113.28299999999999,123.61399999999999,134.464,3154.4563,3301.8964,3438.3925,3665.4446,3819.92,4205.0046,4221.1339,4252.7182,4359.1953,4293.6582,4480.3934,4721.7008,5051.075,5721.9482,6521.6593,7267.0607,7932.78,8571.7002,8752.4095,9314.1425,10108.2299,11013.0344,11250.3966,11732.5156,11911.7118
Cote d'Ivoire,CIV,1.19,1.24,1.28,1.33,1.37,1.42,1.47,1.51,1.56,1.6,1.65,1.69,1.72,1.76,1.8,1.84,1.88,1.92,1.96,2.01,2.05,2.1,2.15,2.21,2.26,21.320999999999998,21.271,20.94,20.654,20.549,21.739,23.092,23.62,24.326,24.383000000000003,23.785999999999998,23.761999999999997,23.214000000000002,22.836,23.25,23.875999999999998,24.439,24.983,25.538,25.969,26.183000000000003,24.955,27.479,29.701999999999998,32.111,23.3747,23.9943,24.4827,25.0909,26.1029,26.7178,26.0809,26.0654,24.7427,25.3163,23.9464,24.2816,25.6383,24.5056,24.3785,26.3927,26.3375,26.4939,27.731,27.532,28.8449,28.8764,31.2382,33.0563,33.7401
Cameroon,CMR,1.18,1.21,1.25,1.29,1.32,1.36,1.4,1.43,1.47,1.51,1.55,1.59,1.64,1.68,1.73,1.77,1.82,1.87,1.93,1.98,2.03,2.09,2.15,2.21,2.27,19.493,18.813,18.105999999999998,16.581,16.815,17.282,17.878,18.639,19.19,19.78,20.399,21.191,21.85,22.658,24.186,24.763,25.684,26.919,27.629,27.68,28.176,29.142,30.214000000000002,31.537,33.117,75.2891,74.9645,74.9059,79.0696,79.7501,79.5812,78.7451,79.469,80.7341,80.753,82.4335,81.8115,81.3611,82.2653,81.5427,83.0509,82.7123,83.7133,82.8321,83.3899,82.5208,82.6645,82.2881,83.2755,83.1379
