Country Name, Country Code,p1990,p1991,p1992,p1993,p1994,p1995,p1996,p1997,p1998,p1999,p2000,p2001,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,p2012,p2013,p2014,g1990,g1991,g1992,g1993,g1994,g1995,g1996,g1997,g1998,g1999,g2000,g2001,g2002,g2003,g2004,g2005,g2006,g2007,g2008,g2009,g2010,g2011,g2012,g2013,g2014,ghg1990,ghg1991ghg1992,ghg1993,ghg1994,ghg1995,ghg1996,ghg1997,ghg1998,ghg1999,ghg2000,ghg2001,ghg2002,ghg2003,ghg2004,ghg2005,ghg2006,ghg2007,ghg2008,ghg2009,ghg2010,ghg2011,ghg2012,ghg2013,ghg2014
"Congo, Rep.",COG,0.24,0.24,0.25,0.26,0.26,0.27,0.28,0.29,0.3,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.39,0.4,0.41,0.43,0.44,0.45,0.46,0.47,34.542,35.576,36.323,35.814,33.617,34.699,35.815,35.176,35.847,34.414,36.771,37.91,39.149,39.061,40.283,43.372,45.92,44.839,46.63,48.864,52.145,53.538000000000004,55.19,56.676,60.177,2.6054,4.847,4.7874,4.7732,4.5623,4.7205,4.4547,5.0769,5.0307,4.7734,4.5534,4.4521,4.4861,4.9567,4.7886,6.988,7.2454,7.2827,7.5829,7.7321,7.3315,7.3066,7.5893,6.9841,6.9983
Colombia,COL,3.31,3.38,3.44,3.51,3.58,3.64,3.71,3.77,3.84,3.9,3.96,4.03,4.09,4.15,4.21,4.26,4.32,4.37,4.43,4.48,4.52,4.57,4.61,4.65,4.7,50.155,51.861999999999995,54.125,57.278,60.747,64.061,65.399,67.628,67.63,64.652,66.94800000000001,68.483,70.227,73.244,78.112,83.206,90.363,97.929,101.88,102.745,107.32700000000001,116.50200000000001,122.26299999999999,128.914,136.181,116.6519,118.4205,121.978,125.916,127.883,130.9327,131.8528,135.9924,137.7688,128.6213,132.0068,132.2259,131.1788,132.7604,133.9722,138.8471,139.7764,143.5525,144.4866,148.6653,151.6834,154.6902,152.1934,159.5837,162.8699
Comoros,COM,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,16.746,15.902999999999999,17.145,17.562,16.512999999999998,16.986,16.611,17.112000000000002,17.07,17.2,19.007,19.393,19.676,19.982,20.423,21.147,21.835,22.066,22.839000000000002,23.184,23.765,24.653000000000002,25.31,26.273000000000003,26.689,0.2324,0.237,0.2403,0.2512,0.2481,0.2569,0.2694,0.274,0.301,0.2999,0.3018,0.3031,0.3146,0.3378,0.3507,0.3273,0.3648,0.2894,0.3124,0.3409,0.3803,0.3679,0.3813,0.4185,0.3978
Cabo Verde,CPV,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,10.877,11.13,12.290999999999999,13.293,15.735999999999999,17.88,19.799,21.897,24.416999999999998,27.029,31.01,31.838,33.483000000000004,34.979,39.003,42.403,46.556000000000004,54.376999999999995,58.411,57.412,58.217,61.023999999999994,62.074,62.86,63.63,0.2162,0.2283,0.2632,0.269,0.2531,0.2858,0.2737,0.2896,0.3147,0.3447,0.371,0.3945,0.4347,0.4693,0.4998,0.6195,0.6665,0.7123,0.6912,0.7537,0.7947,0.7666,0.6593,0.6549,0.6488
Costa Rica,CRI,0.31,0.32,0.33,0.34,0.35,0.35,0.36,0.37,0.38,0.39,0.4,0.4,0.41,0.42,0.42,0.43,0.43,0.44,0.45,0.45,0.46,0.46,0.47,0.47,0.48,50.256,51.761,56.324,60.174,62.611000000000004,64.93,65.33800000000001,68.529,72.47,74.812,77.874,80.896,83.49700000000001,87.322,92.209,97.37100000000001,106.095,116.259,122.406,120.585,126.447,133.029,140.42,144.459,150.673,8.2916,8.5565,9.6653,9.7097,10.1375,9.735,9.5639,9.6174,10.2894,10.0755,9.8896,10.2393,10.2118,10.6394,10.7561,11.498,11.6168,13.0157,13.1399,12.9547,12.858,13.3082,13.3446,13.7769,13.8976
Cuba,CUB,1.06,1.07,1.07,1.08,1.08,1.09,1.09,1.1,1.1,1.11,1.11,1.12,1.12,1.12,1.13,1.13,1.13,1.13,1.12,1.12,1.12,1.12,1.13,1.13,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0702,44.3786,38.6556,35.1193,36.5711,37.4095,40.0188,42.6925,42.3262,42.8962,43.4051,42.3856,40.9798,40.2177,39.6888,39.9685,40.9096,42.0345,41.4902,45.7585,49.0899,46.7181,47.5771,46.5085,46.8277
Cyprus,CYP,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,133.14700000000002,135.124,147.225,148.14700000000002,156.958,170.696,172.97400000000002,177.78799999999998,187.585,196.627,212.915,228.71400000000003,235.56400000000002,242.52900000000002,259.212,277.632,299.842,328.499,348.241,338.88300000000004,332.30800000000005,331.923,319.147,306.209,303.906,5.0532,5.6093,5.9653,6.1466,6.348,6.2406,6.5573,6.6297,7.1381,7.3852,7.7236,7.6213,7.8572,8.6834,8.5788,8.769,8.8035,9.1812,9.3564,9.0863,8.8112,8.4961,7.9403,6.9364,7.0222
Czech Republic,CZE,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.03,1.04,1.04,1.05,1.05,1.05,1.05,1.05,126.59899999999999,115.956,117.87700000000001,120.619,126.734,137.525,145.834,147.306,149.064,153.241,161.908,175.545,181.892,194.261,207.99200000000002,219.56400000000002,237.765,261.249,278.448,275.993,276.67400000000004,287.974,290.472,304.857,322.633,181.0566,164.8315,158.3562,153.4895,145.9676,145.4959,147.042,144.3961,137.8697,130.5493,141.6226,141.6084,136.5724,140.8975,141.6378,138.204,138.7436,141.5069,135.9195,128.3928,130.5169,129.9681,125.4874,120.9859,116.7703
Germany,DEU,7.94,8.0,8.06,8.12,8.14,8.17,8.19,8.2,8.2,8.21,8.22,8.23,8.25,8.25,8.25,8.25,8.24,8.23,8.21,8.19,8.18,8.03,8.04,8.06,8.1,194.23,209.524,216.767,218.34099999999998,227.692,235.812,241.09599999999998,246.445,253.926,263.601,272.981,284.759,293.269,299.9,314.17400000000004,319.685,342.418,364.50800000000004,380.288,370.42400000000004,391.874,426.925,435.64099999999996,452.32199999999995,471.908,1154.1051,1124.8812,1077.8502,1067.8299,1054.4742,1048.3963,1070.5367,1033.6267,1018.268,981.0824,969.0739,984.353,967.2721,967.9244,948.6196,927.9916,938.3755,905.9013,912.3326,854.8262,892.2,864.2562,876.0749,894.057,854.0073
Djibouti,DJI,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.443,0.0,0.0,0.0,0.8948,0.8891,0.8934,0.9057,0.9176,0.9578,0.9942,1.0173,1.0224,1.0515,1.0813,1.1061,1.1394,1.1661,1.1594,1.1688,1.1596,1.2144,1.2558,1.2249,1.2836,1.2426,1.297,1.3934,1.5143
Dominica,DMA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,43.207,45.299,47.158,49.119,50.035,52.591,55.343,57.802,61.016999999999996,62.428999999999995,65.491,66.875,65.845,71.061,74.899,77.51100000000001,83.42399999999999,91.009,99.34100000000001,98.89399999999999,100.681,102.499,103.287,104.38600000000001,110.921,0.1732,0.1741,0.1721,0.1759,0.1786,0.189,0.1807,0.1886,0.1849,0.1886,0.2106,0.2183,0.2058,0.2214,0.2183,0.2223,0.218,0.2617,0.2374,0.2373,0.2448,0.235,0.2428,0.2399,0.2429
Denmark,DNK,0.51,0.52,0.52,0.52,0.52,0.52,0.53,0.53,0.53,0.53,0.53,0.54,0.54,0.54,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.56,0.56,0.56,0.56,182.155,190.445,197.94099999999997,201.97799999999998,216.55900000000003,226.61,237.11,249.25799999999998,258.13599999999997,266.538,286.621,294.496,306.403,307.862,329.087,341.50199999999995,372.957,389.685,412.783,403.397,429.996,444.034,448.04,467.269,479.014,66.6723,77.2658,71.2017,73.8354,77.6614,74.4963,87.8829,78.3205,74.2522,70.8439,66.6328,67.7227,67.1045,72.6611,66.6301,62.8567,71.121,66.434,63.2441,60.7336,61.2864,56.1909,51.0317,52.8873,48.7741
Dominican Republic,DOM,0.71,0.73,0.74,0.75,0.77,0.78,0.8,0.81,0.82,0.83,0.85,0.86,0.87,0.89,0.9,0.91,0.92,0.93,0.95,0.96,0.97,0.98,0.99,1.0,1.02,35.792,36.648,40.913000000000004,44.144,45.433,48.173,51.115,55.693999999999996,59.151,62.588,65.958,68.04,71.17699999999999,70.51,73.242,81.529,90.494,98.53200000000001,102.365,102.83200000000001,111.329,115.806,119.79700000000001,126.35,136.976,15.2134,16.1398,17.8326,17.8648,19.7602,20.7331,21.7982,23.5754,25.6113,26.0903,27.4524,27.5998,29.6161,27.0347,26.2906,27.9888,29.9516,30.9622,31.3613,31.1971,32.4482,32.6492,33.2175,33.1372,33.1073
Algeria,DZA,2.58,2.64,2.7,2.76,2.82,2.88,2.93,2.97,3.02,3.06,3.1,3.15,3.19,3.23,3.27,3.31,3.36,3.42,3.47,3.53,3.6,3.67,3.74,3.81,3.89,66.825,66.597,67.73,66.388,65.818,68.432,71.281,72.134,75.524,77.954,81.624,84.806,89.82700000000001,96.84100000000001,102.368,110.25,113.81299999999999,118.95200000000001,122.113,122.91799999999999,126.564,130.464,134.797,138.164,143.17,90.7337,90.1712,90.3222,98.361,96.6891,98.7464,99.5933,103.2832,108.1765,113.6734,117.0715,114.7477,121.4828,126.4091,129.7047,134.5421,140.7133,148.6758,153.6934,163.8497,165.5905,171.7491,182.3343,187.5171,202.0871
Ecuador,ECU,1.02,1.05,1.07,1.1,1.12,1.15,1.17,1.2,1.22,1.24,1.27,1.29,1.31,1.34,1.36,1.38,1.41,1.43,1.45,1.48,1.5,1.52,1.55,1.57,1.6,48.427,51.00899999999999,52.063,53.132,55.333,56.519,57.31,59.558,60.93600000000001,57.733000000000004,58.543,61.105,63.489,65.305,71.36,76.19,80.59100000000001,83.166,88.689,88.42,91.14299999999999,98.836,104.831,110.28399999999999,114.84200000000001,29.1162,30.188,31.7499,31.2494,32.6013,35.6661,38.8073,39.9591,39.764,35.6183,36.5542,39.2984,39.4834,39.2795,42.7854,44.0497,46.0564,46.3978,47.3034,50.0586,53.776,55.0579,56.2169,58.2986,60.6294
"Egypt, Arab Rep.",EGY,5.61,5.74,5.87,5.99,6.11,6.23,6.36,6.49,6.62,6.75,6.88,7.02,7.15,7.28,7.42,7.55,7.69,7.82,7.96,8.11,8.28,8.45,8.64,8.84,9.04,38.273,39.113,40.909,42.22,43.943000000000005,46.013999999999996,48.214,50.71,53.07,55.983000000000004,59.717,61.994,63.278,65.28699999999999,68.521,72.495,78.398,84.713,90.91,94.113,98.14299999999999,99.82799999999999,101.73,103.405,106.012,123.3388,127.7573,131.8974,133.2189,127.7224,135.828,142.7845,152.1826,159.4946,168.1489,168.6119,182.2767,187.4435,195.6899,207.4449,227.5663,235.4893,251.1878,262.3536,265.7853,267.5967,274.99,288.3518,272.3785,272.685
Eritrea,ERI,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.31,0.32,0.32,0.0,0.0,0.0,0.0,0.0,10.53,12.334000000000001,15.41,16.287,18.185,19.973,20.451,20.462,19.776,21.217,21.249000000000002,20.097,20.023,20.378,20.139,20.427,18.38,18.886,19.214000000000002,21.03,0.0,0.0,0.0,,,6.0603,5.794,5.9156,6.0697,6.392,6.7026,6.5797,6.6075,6.6328,6.4999,6.4002,6.5035,6.4905,6.4621,6.3546,6.4824,6.3511,6.3004,6.3149,6.4977,6.6207,6.6813,6.7554
Spain,ESP,3.89,3.9,3.92,3.94,3.95,3.97,3.99,4.01,4.02,4.04,4.06,4.09,4.14,4.22,4.29,4.37,4.44,4.52,4.6,4.64,4.66,4.67,4.68,4.66,4.65,136.273,144.101,148.028,149.196,155.273,162.183,169.16099999999997,178.688,190.293,199.072,215.33900000000003,229.108,243.63,250.56,261.801,277.025,308.153,325.971,334.63699999999994,323.91,319.231,320.683,319.883,326.039,337.096,271.7052,278.7947,289.6307,276.4999,287.7991,300.575,293.2927,314.18,326.2477,350.1566,367.6934,369.3148,386.9475,394.0222,409.8726,423.7214,417.2805,431.8756,394.2674,354.8803,340.0375,339.7952,331.778,306.6777,305.8181
Estonia,EST,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,62.839,68.255,78.421,83.656,83.682,94.213,103.02799999999999,115.906,130.64700000000002,144.194,165.16099999999997,192.58,219.643,226.64,205.024,215.817,245.43099999999998,260.225,274.957,289.642,42.9105,38.9451,29.7394,23.7073,22.5782,20.6316,21.4405,21.0155,20.4154,19.3595,18.9324,19.367,18.9978,21.0148,21.1585,21.3849,20.1564,24.0275,22.4434,19.1331,23.0397,22.1454,20.9141,23.3256,22.0363
Ethiopia,ETH,4.79,4.96,5.14,5.33,5.52,5.7,5.89,6.07,6.25,6.43,6.62,6.82,7.01,7.22,7.42,7.63,7.85,8.07,8.29,8.52,8.76,9.01,9.27,9.54,9.81,4.248,3.937,3.548,3.965,4.0360000000000005,4.23,4.691,4.775,4.527,4.691,4.9430000000000005,5.315,5.3260000000000005,5.159,5.849,6.558,7.284,8.111,8.913,9.506,10.526,11.616,12.504000000000001,13.677,14.940999999999999,65.9973,66.4521,67.2177,61.9145,63.193,63.8906,66.9026,69.1506,74.8299,74.7212,72.3958,76.273,85.5334,83.8519,85.8107,89.3843,93.553,102.6523,106.6497,110.8278,115.2936,114.739,119.3196,123.3709,129.2132
Finland,FIN,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.51,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.53,0.53,0.53,0.53,0.54,0.54,0.54,0.54,0.55,181.495,175.57299999999998,172.632,174.577,184.532,195.579,200.577,217.78599999999997,235.58599999999998,247.68599999999998,267.529,277.70599999999996,285.672,289.849,311.181,319.934,343.63,377.032,399.694,378.3,387.374,406.835,406.202,412.935,414.702,73.6873,73.8074,70.9224,72.0966,78.7351,74.8229,80.9897,78.676,74.9644,73.9017,72.1335,77.4257,79.3083,87.0648,82.3253,69.7273,81.0394,79.1086,70.7962,67.6646,76.1792,68.4663,62.7742,63.5322,59.5276
Fiji,FJI,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,38.233000000000004,38.102,40.843,42.108000000000004,44.571999999999996,46.053999999999995,48.586999999999996,47.828,48.541000000000004,53.167,53.121,55.174,57.745,59.346000000000004,64.03399999999999,66.188,68.928,69.48,70.786,69.655,72.028,75.204,77.582,82.63,88.824,1.7324,1.6029,1.6833,1.7521,1.7947,1.8594,1.9118,1.8896,1.8416,1.8206,1.8578,2.1119,1.9348,2.033,2.3889,2.1152,2.2254,2.1866,1.9393,1.8103,2.2373,2.1186,2.0989,2.1994,2.2227
France,FRA,5.82,5.86,5.89,5.91,5.93,5.95,5.98,6.0,6.02,6.05,6.09,6.14,6.18,6.22,6.27,6.32,6.36,6.4,6.44,6.47,6.5,6.53,6.57,6.6,6.63,176.24200000000002,183.095,189.31900000000002,191.753,199.722,207.455,213.315,222.41400000000002,233.59099999999998,243.075,260.943,275.015,285.23900000000003,281.415,290.34,304.986,324.349,340.884,350.95300000000003,346.852,359.0,374.406,376.791,395.23900000000003,401.416,492.7267,518.8808,502.1944,482.8606,479.5558,488.658,504.0465,493.567,511.6289,504.751,498.7294,501.8357,493.8339,498.0763,498.5618,498.1051,488.8187,481.5453,475.9008,456.456,462.6836,432.7552,435.6084,440.8485,413.1144
"Micronesia, Fed. Sts.",FSM,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,17.663,19.125999999999998,19.820999999999998,21.409000000000002,21.315,22.979,22.506,21.474,22.413,23.143,24.826999999999998,25.87,26.471999999999998,27.522,27.449,29.021,30.075,30.546,30.714000000000002,31.486,32.523,34.135,33.753,32.577,32.019,,,0.1083,0.108,0.1114,0.1613,0.1616,0.1655,0.1724,0.1652,0.1799,0.2249,0.1994,0.1997,0.1996,0.1778,0.1781,0.1971,0.1757,0.2201,0.1727,0.1813,0.1964,0.2047,0.1803
Gabon,GAB,0.09,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.17,0.18,0.19,126.90799999999999,135.468,130.685,135.388,139.686,145.887,150.069,157.403,160.667,144.839,141.822,144.54,143.014,145.374,146.559,151.06799999999998,147.082,155.495,148.636,145.148,151.904,160.111,165.36599999999999,171.16299999999998,175.483,6.6554,6.9009,7.1885,7.312,7.0675,7.2441,7.0445,6.9078,6.7285,6.3352,5.8765,5.7674,5.568,5.65,5.7575,5.9104,5.3582,5.4161,5.4508,5.5633,6.14,7.0512,7.3869,7.344,7.2586
United Kingdom,GBR,5.72,5.74,5.76,5.77,5.79,5.8,5.82,5.83,5.85,5.87,5.89,5.91,5.94,5.96,6.0,6.04,6.08,6.13,6.18,6.23,6.28,6.33,6.37,6.41,6.46,166.983,170.227,174.28599999999997,182.486,193.122,204.34799999999998,217.6,229.593,235.15200000000002,242.097,262.551,275.123,288.819,301.262,317.885,324.923,345.54400000000004,354.075,364.265,347.694,360.12699999999995,368.20300000000003,379.11300000000006,395.05400000000003,408.675,737.7344,745.6428,721.3853,702.7208,692.3,674.5566,690.0033,660.5242,657.3484,648.5991,648.3754,656.1518,635.5173,643.619,640.3039,634.5543,634.8797,620.9046,605.2281,554.5052,571.7307,533.3438,557.5926,546.2641,506.1109
Georgia,GEO,0.48,0.48,0.49,0.49,0.48,0.47,0.45,0.43,0.42,0.42,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,51.813,41.967,23.468000000000004,16.855,15.664000000000001,17.035999999999998,20.004,23.223000000000003,24.82,26.439,28.068,30.531999999999996,33.007,37.591,41.093999999999994,46.733000000000004,52.983000000000004,61.571000000000005,64.482,63.16,68.38600000000001,75.459,82.395,86.94200000000001,92.639,48.0278,38.5032,31.4264,25.5361,18.1399,14.4429,13.0313,12.6004,12.4341,12.4071,13.1158,11.6809,10.9371,10.9617,11.0619,11.7051,12.0977,12.7628,11.85,12.6749,12.3058,13.8853,14.7281,15.1286,16.3822
Ghana,GHA,1.48,1.52,1.57,1.61,1.66,1.7,1.75,1.79,1.84,1.88,1.93,1.98,2.02,2.08,2.13,2.18,2.24,2.3,2.36,2.42,2.48,2.54,2.6,2.66,2.72,12.335,13.042,13.462,14.042,14.409,14.908,15.472000000000001,15.991,16.517,17.07,17.659000000000002,18.314,18.971,19.835,20.982,22.342,23.874000000000002,24.929000000000002,27.033,27.840999999999998,29.644000000000002,33.688,36.646,39.097,40.062,12.4027,12.5031,13.0577,13.3402,13.7684,14.1717,14.6656,15.1213,18.135,17.6839,18.1403,19.206,19.964,20.7762,18.953,22.1928,23.1669,22.9547,22.6954,23.8792,25.4236,27.519,29.1166,30.8917,30.2599
Guinea,GIN,0.64,0.65,0.67,0.69,0.71,0.73,0.75,0.77,0.79,0.81,0.82,0.84,0.86,0.88,0.89,0.91,0.93,0.95,0.97,1.0,1.02,1.04,1.07,1.09,1.12,8.714,8.985,9.235,9.67,10.002,10.405,10.78,11.235999999999999,11.478,11.797,12.084000000000001,12.532,13.124,13.277000000000001,13.683,14.239,14.527999999999999,15.584000000000001,16.169,15.745999999999999,16.324,17.215,18.179000000000002,18.801,19.407,7.5107,7.8168,8.141,8.4901,9.0147,9.4157,9.6006,9.8293,10.7361,10.4702,11.0554,11.2261,12.5542,12.1169,12.5029,12.9733,13.4348,13.3382,14.8425,14.7574,15.2549,15.3509,16.3306,16.4436,16.0351
"Gambia, The",GMB,0.1,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.17,0.18,0.18,0.19,0.2,0.2,9.379,9.624,9.831,10.041,9.958,9.943999999999999,10.035,10.384,10.538,11.027000000000001,11.527000000000001,12.075,11.494000000000002,12.118,12.907,12.78,12.915999999999999,13.339,13.957,14.532,15.198,14.408,15.044,15.561,15.238,3.7253,3.8737,3.9794,4.0936,4.2409,4.3854,4.5185,4.5959,4.7762,4.8859,5.0749,5.2314,5.3617,5.5516,5.8099,5.9338,6.1611,6.2786,6.5483,6.9199,7.1637,7.0464,7.2101,7.4069,7.6859
Guinea-Bissau,GNB,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.16,0.17,10.600999999999999,11.261,11.384,11.635,12.001,12.527000000000001,13.954,14.828,10.577,10.63,11.227,11.478,11.293,11.308,11.659,12.242,12.597999999999999,13.037,13.380999999999998,13.59,14.017000000000001,15.067,14.698,15.037,15.065999999999999,1.2297,1.2423,1.2751,1.2979,1.3183,1.3447,1.363,1.3484,1.3148,1.4406,1.4026,1.5027,1.5169,1.5965,1.4673,1.432,1.6731,1.5966,1.6392,1.6866,1.8409,1.8658,2.0272,1.9723,2.0245
Equatorial Guinea,GNQ,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.11,0.11,6.605,6.545,8.729,9.592,11.037,12.767999999999999,20.857,51.0,61.317,75.038,87.037,139.45600000000002,162.366,180.699,245.25900000000001,282.41900000000004,299.41900000000004,338.406,387.909,378.21,332.94699999999995,346.221,365.76099999999997,341.80699999999996,335.42800000000005,0.1654,0.2825,0.3373,1.2488,1.2229,1.3584,3.0585,4.5116,5.6095,7.2197,8.5259,10.4919,12.6546,16.2762,18.6908,19.5562,20.1669,20.0663,19.8013,20.4282,20.2893,20.3445,20.728,20.5142,20.5799
Greece,GRC,1.02,1.03,1.04,1.05,1.05,1.06,1.06,1.07,1.07,1.08,1.08,1.09,1.09,1.09,1.1,1.1,1.1,1.1,1.11,1.11,1.11,1.11,1.1,1.1,1.09,132.911,139.974,143.069,143.27,148.511,154.08700000000002,161.293,171.541,180.335,184.64700000000002,195.18900000000002,209.636,226.15900000000002,238.702,254.373,255.775,285.195,292.91900000000004,308.56,303.654,281.48400000000004,261.413,252.845,260.97900000000004,268.385,96.2069,95.9054,97.7708,98.6833,100.9206,104.7927,105.1597,106.2303,109.6191,109.4327,117.2965,118.3838,117.6971,121.0948,120.2849,121.3044,119.6097,123.1803,117.3116,110.735,103.3464,100.9196,94.5859,87.4638,84.1137
