Country Name, Country Code,p1990,p1991,p1992,p1993,p1994,p1995,p1996,p1997,p1998,p1999,p2000,p2001,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,p2012,p2013,p2014,g1990,g1991,g1992,g1993,g1994,g1995,g1996,g1997,g1998,g1999,g2000,g2001,g2002,g2003,g2004,g2005,g2006,g2007,g2008,g2009,g2010,g2011,g2012,g2013,g2014,ghg1990,ghg1991ghg1992,ghg1993,ghg1994,ghg1995,ghg1996,ghg1997,ghg1998,ghg1999,ghg2000,ghg2001,ghg2002,ghg2003,ghg2004,ghg2005,ghg2006,ghg2007,ghg2008,ghg2009,ghg2010,ghg2011,ghg2012,ghg2013,ghg2014
Grenada,GRD,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,46.968999999999994,49.165,49.495,49.137,50.46,52.123999999999995,55.043,58.473,65.786,71.054,75.896,75.685,79.229,88.023,89.51299999999999,104.23899999999999,102.838,111.79299999999999,114.757,107.645,107.89,110.40100000000001,110.546,114.36,124.241,1.5642,1.5786,1.5968,1.6114,1.6445,1.6628,1.6783,1.7049,1.7241,1.7547,1.7624,1.7755,1.7961,1.8167,1.815,1.8353,1.8605,1.8781,1.9033,1.9136,1.9305,1.9325,1.9601,2.0022,1.9491
Guatemala,GTM,0.93,0.95,0.97,0.99,1.02,1.04,1.06,1.09,1.11,1.14,1.17,1.19,1.22,1.25,1.28,1.31,1.34,1.37,1.4,1.43,1.46,1.49,1.53,1.56,1.59,33.1,34.650999999999996,36.293,37.718,39.157,41.004,42.028,43.631,45.302,46.661,48.308,49.357,50.86600000000001,51.882,53.685,55.857,59.28,63.278,65.169,64.583,65.767,68.445,70.315,72.649,75.527,11.4134,11.7391,12.8633,13.4713,13.7044,14.6883,14.6578,15.2852,17.1218,17.5361,18.9798,19.6258,20.3985,20.5084,21.652,22.45,22.6641,23.837,22.7077,23.821,23.9876,24.4858,24.8124,26.6483,30.858
Guyana,GUY,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,18.659000000000002,20.426,22.388,24.61,27.109,28.979,31.878,34.56,34.554,36.288000000000004,36.738,38.477,39.551,40.012,41.698,42.13399999999999,45.625,50.13,52.091,54.288000000000004,57.062,61.07,65.233,69.34,72.976,2.4458,2.6488,2.6237,2.7288,3.0441,3.323,3.3812,3.5102,3.4934,3.6113,3.3125,3.3432,3.2463,3.3706,3.4157,3.0874,2.9184,3.2264,3.3666,3.3532,3.5795,3.6521,3.9408,4.0547,4.4776
Honduras,HND,0.5,0.51,0.52,0.54,0.55,0.57,0.59,0.6,0.62,0.64,0.66,0.68,0.69,0.71,0.73,0.75,0.76,0.78,0.8,0.82,0.83,0.85,0.86,0.88,0.9,20.815,20.22,21.326,22.604,22.491,23.7,23.892,24.703000000000003,25.151,24.627,26.284000000000002,26.866999999999997,27.592,28.65,30.497,32.563,34.931,37.239000000000004,38.715,37.268,38.325,39.845,41.503,42.631,43.981,10.4836,10.6135,10.9362,10.8214,11.46,12.2882,12.3593,12.7172,13.3345,13.2167,13.9117,14.8159,15.1714,16.7846,17.8829,18.381,17.8381,19.7413,19.4229,19.3507,19.3148,20.6585,20.8196,21.111,21.4748
Croatia,HRV,0.48,0.47,0.46,0.46,0.47,0.46,0.46,0.45,0.45,0.45,0.45,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.0,0.0,0.0,0.0,0.0,79.506,86.73299999999999,94.508,97.71700000000001,98.381,106.531,116.685,126.725,135.42600000000002,145.096,152.905,174.139,193.35299999999998,208.372,200.347,197.80700000000002,207.58599999999998,211.56599999999997,218.071,220.771,29.6373,23.4093,22.0438,22.1196,21.1611,21.4351,21.3089,23.3838,24.4254,24.4456,23.9697,25.1778,26.6315,28.1128,27.9921,28.0231,28.6669,30.0012,29.1491,26.742,25.8023,25.7075,23.9505,23.4257,22.6856
Haiti,HTI,0.7,0.72,0.73,0.75,0.76,0.77,0.79,0.8,0.82,0.83,0.85,0.86,0.88,0.89,0.9,0.92,0.93,0.95,0.96,0.98,0.99,1.01,1.03,1.04,1.05,13.716,14.164000000000001,13.453,12.777999999999999,11.277000000000001,12.421,12.934000000000001,13.270999999999999,13.472000000000001,13.793,13.981,13.9,13.850999999999999,13.927,13.574000000000002,14.02,14.533,15.177,15.359000000000002,15.706,14.787,15.692,16.213,16.948,17.504,4.6707,4.8668,5.217,4.8613,4.3472,5.1065,5.3446,5.8074,5.9469,6.0659,6.4904,6.7729,7.0516,7.0249,7.3064,7.4599,7.5162,7.8933,7.9287,7.9264,7.8357,7.9388,7.8959,8.0637,8.6718
Hungary,HUN,1.04,1.04,1.04,1.04,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.02,1.02,1.01,1.01,1.01,1.01,1.01,1.0,1.0,1.0,1.0,0.99,0.99,0.99,0.0,83.11200000000001,82.434,83.99600000000001,88.439,91.766,93.405,98.22399999999999,104.115,108.948,118.78,132.31,145.496,154.683,162.45600000000002,170.81799999999998,182.98,190.301,206.787,206.518,215.34900000000002,228.412,230.945,244.641,255.18200000000002,88.2158,84.3182,75.6074,75.3241,74.0855,72.971,74.8184,73.4569,73.8563,74.8632,71.7403,73.8355,72.8356,75.3828,74.2476,73.454,72.661,70.4317,69.5458,63.3124,63.1163,61.3492,57.8077,56.9204,56.7553
Indonesia,IDN,18.14,18.46,18.77,19.09,19.39,19.69,19.99,20.28,20.57,20.86,21.15,21.44,21.74,22.03,22.33,22.63,22.93,23.24,23.55,23.86,24.18,24.51,24.85,25.18,25.51,30.019000000000002,32.608000000000004,34.923,37.452,40.485,44.047,47.641999999999996,50.01,43.315,43.674,46.205,48.273999999999994,50.553999999999995,53.231,56.648999999999994,60.919,65.34100000000001,70.415,75.101,78.131,82.845,88.59100000000001,94.449,100.09700000000001,105.70200000000001,380.2543,396.2977,414.6292,429.544,444.7026,478.7409,494.8388,515.0563,523.5184,543.1654,538.88,559.0935,567.7198,597.3829,606.2415,609.543,632.3294,651.765,655.534,681.2795,695.4181,714.8734,734.9148,744.6847,789.4752
India,IND,87.33,89.13,90.93,92.74,94.56,96.39,98.24,100.09,101.95,103.81,105.66,107.5,109.33,111.15,112.96,114.76,116.55,118.32,120.07,121.77,123.43,125.03,126.58,128.08,129.56,12.367,12.659,13.387,14.075,15.037,16.202,17.410999999999998,18.087,19.067999999999998,20.677,21.566999999999997,22.706999999999997,23.543000000000003,25.441,27.744,30.391,33.316,36.28,37.573,40.264,43.602,46.246,49.096000000000004,52.523,56.827,1188.8433,1244.3583,1276.4516,1310.1311,1357.7079,1421.6693,1475.7352,1532.4918,1563.0584,1639.6739,1679.4802,1711.2335,1741.99,1786.5244,1883.2593,1970.257,2068.2189,2208.8707,2309.6455,2488.6843,2592.8056,2699.879,2833.2703,2909.0566,3079.8127
Ireland,IRL,0.35,0.35,0.36,0.36,0.36,0.36,0.36,0.37,0.37,0.38,0.38,0.39,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.45,0.46,0.46,0.46,0.46,0.47,137.38299999999998,143.939,151.107,158.06,170.05599999999998,189.37599999999998,204.792,226.25599999999997,250.595,269.953,301.778,325.461,352.121,362.37800000000004,386.69199999999995,404.37800000000004,442.05,467.597,442.837,416.217,432.95,448.55300000000005,462.566,478.973,510.68,53.6667,54.4391,54.7246,55.3303,56.7896,57.5501,58.7803,60.2654,63.6082,65.425,66.9182,69.2439,68.5893,68.0673,69.2327,70.6466,71.1437,69.5642,69.2612,64.073,62.7663,58.5973,59.766,59.2123,58.7061
Iraq,IRQ,1.74,1.79,1.84,1.9,1.95,2.01,2.08,2.14,2.21,2.28,2.35,2.42,2.49,2.56,2.63,2.69,2.74,2.79,2.84,2.9,2.97,3.07,3.19,3.32,3.44,74.982,27.136999999999997,35.775,46.325,47.669,48.196000000000005,52.825,63.153999999999996,83.49799999999999,96.59200000000001,97.177,98.615,90.556,59.99100000000001,92.555,97.38600000000001,108.40799999999999,110.98100000000001,120.402,122.87700000000001,128.849,136.94,153.209,161.336,159.502,155.784,124.0568,134.3421,146.1816,146.0661,130.9525,147.5137,180.7405,161.8875,160.3273,185.521,191.8928,179.2054,165.4502,164.4992,173.3779,173.8859,172.1569,185.9616,213.4824,231.3188,246.5791,270.1728,284.5679,294.8999
Iceland,ISL,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,219.84400000000002,224.157,218.764,224.593,235.61599999999999,239.53400000000002,247.84400000000002,269.10400000000004,286.882,295.232,297.106,317.752,325.24,326.194,356.08099999999996,372.332,390.94,411.602,433.184,419.05400000000003,395.77,407.67199999999997,419.26300000000003,441.57599999999996,457.149,3.0753,2.9664,2.913,2.8854,2.9242,2.7536,3.0674,2.9835,3.014,2.9987,3.1221,3.008,3.0753,3.0472,3.111,3.0764,3.1535,3.2251,3.0474,2.9703,2.8488,2.7793,2.704,2.8594,2.9132
Israel,ISR,0.47,0.49,0.51,0.53,0.54,0.55,0.57,0.58,0.6,0.61,0.63,0.64,0.66,0.67,0.68,0.69,0.71,0.72,0.73,0.75,0.76,0.78,0.79,0.81,0.82,151.49200000000002,158.863,169.144,175.551,187.695,198.905,207.287,214.025,220.389,225.65599999999998,249.123,249.018,252.079,237.921,251.99099999999999,248.11,256.70099999999996,274.547,274.147,274.991,288.295,305.69,317.253,341.785,342.626,42.2885,43.5072,46.4015,50.5993,54.0221,58.162,60.7716,63.4742,64.7422,66.609,71.1009,71.9042,74.9419,76.7877,76.9542,74.901,78.713,81.5236,82.0864,81.8709,87.1855,87.3215,94.583,89.5907,87.4817
Italy,ITA,5.67,5.68,5.68,5.68,5.68,5.68,5.69,5.69,5.69,5.69,5.69,5.7,5.71,5.73,5.77,5.8,5.81,5.84,5.88,5.91,5.93,5.94,5.95,6.02,6.08,185.47400000000002,194.562,200.519,203.395,212.16400000000002,222.862,229.68099999999998,238.19,249.46900000000002,255.31599999999997,270.272,279.32599999999996,286.416,290.813,294.474,300.518,323.32,339.965,354.029,345.14,350.08099999999996,363.473,362.371,361.311,360.708,491.0188,489.2065,486.9565,479.615,474.8034,497.6824,496.2418,500.2063,512.8427,521.0285,525.6145,521.9916,531.8453,549.703,560.6943,558.1968,552.5355,542.7224,525.4715,473.7434,479.11,470.575,451.3357,421.374,403.1072
Jamaica,JAM,0.24,0.24,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,47.379,50.942,52.653,58.417,59.901,61.983999999999995,62.433,62.17100000000001,60.816,61.777,63.184,64.949,66.84100000000001,70.146,72.571,75.087,79.186,82.066,82.57600000000001,79.199,78.543,81.12100000000001,81.7,83.068,84.735,8.886,8.8969,9.6873,9.8819,9.9207,10.2394,10.5996,10.804,11.3133,11.6005,11.6885,11.773,11.967,12.3678,12.4005,12.4377,13.6309,13.5567,11.6232,9.4616,8.931,9.3726,8.9906,9.501,9.391
Jordan,JOR,0.36,0.38,0.4,0.42,0.44,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.56,0.58,0.6,0.63,0.66,0.69,0.73,0.77,0.81,0.85,0.89,40.785,40.711999999999996,46.714,47.369,48.388000000000005,50.419,50.818999999999996,52.131,53.248000000000005,54.88399999999999,57.457,60.687,63.983999999999995,66.429,72.12100000000001,77.84,83.417,88.75399999999999,92.568,93.575,91.941,91.244,90.412,89.83200000000001,90.13799999999999,17.3556,17.4911,20.1226,20.6142,21.5161,22.1704,21.723,21.3085,20.5886,19.6759,19.4766,19.6284,21.3459,21.0192,22.9575,24.4771,24.9454,26.3792,26.0151,26.502,26.2536,26.9843,30.5223,30.4223,32.403
Japan,JPN,12.35,12.39,12.42,12.45,12.5,12.54,12.58,12.61,12.64,12.66,12.68,12.71,12.74,12.77,12.78,12.78,12.79,12.8,12.81,12.8,12.81,12.78,12.76,12.74,12.73,195.612,208.49,214.517,217.923,224.023,234.09599999999998,245.15099999999998,251.46200000000002,250.74099999999999,253.257,268.387,274.725,281.601,289.247,303.48,316.635,330.902,345.015,347.98800000000006,331.986,349.87,357.74699999999996,371.914,389.741,391.792,1171.0379,1178.6127,1191.2018,1185.3836,1238.916,1252.05,1266.5546,1259.3129,1224.8234,1264.8534,1280.8974,1266.2313,1300.4157,1304.2892,1298.7532,1303.4118,1287.6752,1330.2389,1241.1571,1175.9135,1225.8449,1281.1109,1328.2911,1353.6294,1314.59
Kazakhstan,KAZ,1.63,1.65,1.64,1.63,1.61,1.58,1.56,1.53,1.51,1.49,1.49,1.49,1.49,1.49,1.5,1.51,1.53,1.55,1.57,1.61,1.63,1.66,1.68,1.7,1.73,84.68799999999999,77.436,75.055,70.229,63.607,60.669,63.036,66.252,66.869,70.333,79.189,92.008,102.618,113.861,127.264,142.683,161.018,178.011,185.19299999999998,183.929,196.854,212.769,224.08,238.239,249.24400000000003,332.89,336.8705,333.7306,291.6447,263.6205,231.3289,203.9329,176.4538,175.6036,161.0385,156.1106,154.9383,171.9104,182.2595,199.6912,213.3169,233.9984,241.441,287.4499,260.4292,283.4199,300.6789,299.8313,313.7248,291.6327
Kenya,KEN,2.37,2.45,2.53,2.61,2.7,2.78,2.86,2.94,3.03,3.11,3.2,3.28,3.38,3.47,3.56,3.66,3.76,3.87,3.98,4.09,4.2,4.32,4.43,4.55,4.67,15.237,15.46,15.187999999999999,15.119000000000002,15.369000000000002,15.9,16.379,16.27,16.525,16.683,16.692999999999998,17.227999999999998,17.125,17.475,18.355,19.503,20.811999999999998,22.211,22.076,22.357,23.86,25.159000000000002,26.107,27.4,28.671,36.067,34.8812,34.8594,34.6108,34.8314,35.1548,34.5067,34.1576,35.3188,37.0977,35.9711,35.5406,36.3356,37.4073,39.6274,40.7897,40.4186,55.5977,56.713,56.9688,58.365,60.2467,59.4649,60.1371,60.5299
Kyrgyz Republic,KGZ,0.44,0.45,0.45,0.45,0.45,0.46,0.46,0.47,0.48,0.48,0.49,0.49,0.5,0.5,0.51,0.52,0.52,0.53,0.53,0.54,0.54,0.55,0.56,0.57,0.58,22.548000000000002,21.131999999999998,18.398,15.918,12.997,12.425,13.35,14.710999999999999,14.960999999999999,15.499,16.508,17.6,17.712,19.108,20.748,21.118000000000002,22.191999999999997,24.5,26.819000000000003,27.47,27.331,29.206,29.215999999999998,32.321,33.57,32.1268,29.1377,21.3255,16.9011,12.4853,9.401,10.3432,10.0984,10.4835,9.218,9.099,8.4426,9.3715,10.1779,10.1306,9.9738,10.0834,11.3445,12.5118,12.0553,11.7351,13.1669,15.7694,15.4959,15.1682
Cambodia,KHM,0.9,0.93,0.96,1.0,1.03,1.07,1.1,1.13,1.16,1.19,1.22,1.24,1.26,1.29,1.31,1.33,1.35,1.37,1.39,1.41,1.43,1.45,1.48,1.5,1.53,0.0,0.0,0.0,11.503,7.401,8.041,8.413,8.652999999999999,8.921,9.955,11.017999999999999,11.854000000000001,12.597999999999999,13.687000000000001,15.259,17.542,19.715999999999998,21.983,23.559,23.406,24.706999999999997,26.581,28.601,30.733,33.006,15.3511,15.2577,15.8881,16.7383,15.8945,17.8019,17.8307,17.9836,18.063,19.141,18.165,18.6399,19.1515,20.3922,21.3032,21.6394,23.0515,24.6398,24.8389,25.4169,26.2524,27.7542,27.3084,27.1265,28.8387
Kiribati,KIR,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,12.615,12.812999999999999,13.03,13.285,13.630999999999998,13.729000000000001,14.004000000000001,14.251,15.099,14.824000000000002,15.831,15.67,16.246,16.589000000000002,16.45,17.45,17.585,18.008,17.567,17.46,17.160999999999998,17.492,18.38,19.215999999999998,19.176,0.0356,0.0357,0.0396,0.0434,0.0436,0.0437,0.0479,0.0408,0.0447,0.0449,0.0459,0.0427,0.0583,0.0585,0.0626,0.0812,0.0889,0.071,0.0751,0.0607,0.0832,0.0835,0.0841,0.0844,0.0849
"Korea, Rep.",KOR,4.29,4.33,4.37,4.42,4.46,4.51,4.55,4.6,4.63,4.66,4.7,4.74,4.76,4.79,4.81,4.82,4.84,4.87,4.91,4.93,4.96,4.99,5.02,5.04,5.07,82.734,93.458,100.44200000000001,108.751,120.085,132.99200000000002,144.33,154.062,146.213,163.928,180.83,191.68200000000002,207.75099999999998,213.768,229.368,241.96400000000003,258.21,278.223,286.56,283.252,303.653,312.285,320.972,326.158,335.876,290.7325,315.4002,340.5471,369.3051,395.6665,427.9663,456.5211,480.607,416.3353,453.4624,510.454,526.7219,520.572,527.0543,550.0127,547.7178,556.8015,570.3736,582.6205,596.379,645.3432,670.5052,674.744,673.5412,671.1899
Kuwait,KWT,0.21,0.2,0.0,0.0,0.0,0.16,0.16,0.17,0.18,0.2,0.2,0.21,0.21,0.22,0.22,0.23,0.24,0.25,0.27,0.28,0.3,0.32,0.33,0.35,0.37,0.0,0.0,0.0,0.0,0.0,595.172,601.883,596.81,584.3340000000001,546.216,557.918,558.431,575.064,679.3639999999999,759.0889999999999,835.1469999999999,884.797,912.8739999999999,899.133,792.628,738.18,780.217,802.0980000000001,783.992,767.0310000000001,78.3789,91.6166,85.8882,99.0883,110.6601,117.8129,117.6199,119.3998,125.9642,130.577,134.6228,142.1901,148.9615,154.7653,161.6088,173.9793,176.7982,176.2524,181.1373,188.1681,187.289,192.33,197.4428,196.154,198.97
Lebanon,LBN,0.28,0.29,0.31,0.32,0.34,0.35,0.36,0.37,0.37,0.37,0.38,0.4,0.42,0.44,0.46,0.47,0.48,0.48,0.48,0.48,0.5,0.52,0.55,0.59,0.63,36.233000000000004,53.707,60.75,65.277,68.745,72.065,79.806,80.967,84.073,83.611,84.485,86.324,86.545,86.72200000000001,90.912,93.66799999999999,96.887,108.609,121.02799999999999,132.866,141.112,138.415,136.109,133.09,130.49,7.439,8.9473,9.2593,13.2817,14.4855,16.3608,17.0041,18.6665,18.7636,19.3716,17.8981,19.1668,19.0841,19.5785,20.016,19.3743,18.0232,16.7714,20.7866,24.7023,23.8694,24.4866,26.9876,26.9435,28.5954
Liberia,LBR,0.21,0.2,0.2,0.2,0.2,0.2,0.22,0.23,0.25,0.27,0.28,0.3,0.3,0.31,0.31,0.32,0.33,0.35,0.36,0.38,0.39,0.4,0.41,0.42,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.487,10.636,10.948,7.6579999999999995,7.919,8.377,9.013,9.749,10.218,10.419,10.789000000000001,11.544,12.343,13.29,13.289000000000001,1.1864,0.9487,0.9481,0.9467,0.9289,0.9388,0.9794,1.0361,1.0928,1.1252,1.1737,1.2536,1.2611,1.3119,1.4255,1.5551,1.6228,1.6007,1.5576,1.5791,1.9033,2.0375,2.2001,2.1519,2.1503
St. Lucia,LCA,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,62.51,63.951,69.732,70.97399999999999,72.79899999999999,74.705,77.263,76.97399999999999,81.594,83.90100000000001,84.869,83.006,84.02600000000001,88.604,96.82600000000001,98.458,106.443,110.06,116.14200000000001,113.846,114.285,120.492,121.654,120.726,122.475,0.7889,0.8078,0.8484,0.878,0.935,1.0067,1.0405,1.0326,0.9904,1.0066,1.0198,1.0569,1.012,1.0495,1.0506,1.066,1.0693,1.0928,1.1082,1.1018,1.125,1.1314,1.1346,1.133,1.1379
Liechtenstein,LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.091,0.0914,0.0808,0.0841,0.0768,0.0775,0.0807,0.0743
Sri Lanka,LKA,1.73,1.75,1.77,1.79,1.81,1.82,1.84,1.85,1.86,1.87,1.88,1.89,1.91,1.92,1.94,1.95,1.97,1.98,2.0,2.01,2.03,2.04,2.04,2.06,2.08,23.447,25.051,26.445999999999998,28.636999999999997,30.596999999999998,32.689,34.318000000000005,36.937,38.911,40.952,44.11,44.066,46.17,49.402,53.044,57.641000000000005,63.449,69.07,74.07300000000001,76.744,83.289,91.557,101.714,106.182,112.50299999999999,22.591,22.3599,23.9591,24.1152,25.1986,25.2713,27.4593,27.7344,27.5944,29.203,30.7257,30.658,31.6324,32.8872,33.2132,35.1826,33.7685,34.8498,35.1752,34.4111,35.6489,38.6087,39.9605,37.8414,40.7536
Lesotho,LSO,0.17,0.17,0.18,0.18,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,8.427,9.111,9.745,10.099,10.702,11.065,11.677999999999999,12.107999999999999,12.25,12.347999999999999,13.029000000000002,13.769,14.129000000000001,15.134,15.902000000000001,17.049,18.365,19.8,21.543000000000003,22.141,23.694000000000003,25.753,27.666,28.48,29.706,3.1546,3.2199,3.4302,3.4609,3.4794,3.4589,3.4246,3.4116,3.3579,3.8559,3.8122,3.9704,3.6534,3.8698,3.7197,3.9923,3.8509,4.0624,3.9356,4.0407,4.1766,4.1161,4.2088,4.3381,4.3582
Lithuania,LTU,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.29,0.0,0.0,0.0,0.0,0.0,59.24,63.794,70.7,77.63,78.21600000000001,84.57600000000001,94.516,104.944,120.677,130.315,145.261,164.84599999999998,190.954,207.44099999999997,181.459,200.90900000000002,228.543,246.58,266.607,281.743,45.3193,46.842,31.6343,25.742,23.7385,22.0187,22.8353,22.6763,23.5913,21.0972,19.4434,19.8702,19.6711,20.097,21.1769,21.754,21.8664,21.6486,21.362,19.7323,20.7619,19.7005,19.8788,19.3235,19.0352
Luxembourg,LUX,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,296.64799999999997,328.756,337.849,355.57599999999996,371.945,396.35699999999997,413.43699999999995,428.461,443.965,506.279,553.489,558.948,587.715,600.393,640.516,682.201,779.5139999999999,839.817,866.939,822.7819999999999,856.1360000000001,920.05,916.222,955.905,1012.9760000000001,11.8655,12.3967,12.03,12.3938,11.5066,9.4232,9.4932,8.9987,8.3315,8.7158,9.217,9.8475,10.6844,11.0698,12.5296,12.7578,12.631,12.1265,12.0684,11.4742,12.0998,12.0761,11.8102,11.1815,10.8109
Latvia,LVA,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.0,0.0,0.0,0.0,54.162,55.083,57.965,64.846,70.767,74.053,80.193,90.352,100.7,110.266,122.14399999999999,138.476,157.526,181.292,194.32299999999998,168.718,175.58700000000002,197.734,212.52700000000002,226.765,238.079,26.2346,24.3965,21.3227,18.3691,15.439,13.6294,13.6925,13.1143,12.7725,11.815,11.1112,11.625,11.8179,12.0433,12.1577,12.3197,12.8424,13.2655,12.9626,12.2323,13.3371,12.7199,12.5699,12.6443,12.6859
